"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Ямало-Ненецкий авт. округ","8.6","7.1","6.8","5.6","6.3","7.2","5.5","2.8","5.9","4.5","4.3","3.5","3.4","3.2","3.1","3.6","2.6","3.2","2.1","1.9","2.4","2.1","1.7"
"Тюменская область без авт. округов","11.1","11","7.8","","","","","","","","","","","5.2","5.5","6.2","5.6","5","4.5","4.1","4.8","4.4","3.9"
"Челябинская область","8.6","8.8","6.5","5.9","5.1","5.3","5.1","2.5","4.3","8","7.5","6.6","6.4","6","6.2","7","7.1","6.6","5.6","5.1","6.8","4.9","3.1"
"Сибирский федеральный округ","12.8","11.3","10.1","11.4","9.9","9.3","8.7","7.6","8.3","10.5","8.7","8.1","7.1","7.2","7","7.7","8","7.3","6.8","5.9","7.3","5.8","4.4"
"Республика Алтай","17.3","9.6","11.3","10.2","9.6","9.4","11.4","8.9","12.6","13.6","12.2","12.8","11.6","11.5","10.4","9.7","12","12","11.2","11","14","12","9.8"
"Республика Тыва","23.6","23.8","20.3","20.9","19.4","21.9","20.3","16.9","18.6","21.4","21.7","17.3","18.4","19.3","19.1","18.6","16.6","18.3","14.8","12.4","18","15.1","9.5"
"Республика Хакасия","12.2","8.9","8","10.7","10.2","8.9","9.1","6.6","7.2","8.6","9.1","7.2","7.9","6","6.2","5.8","6.3","4.9","5.2","6","8.7","6.4","3.3"
"Алтайский край","11.7","10","8.3","12.3","9.1","8.8","8.9","6.4","8.3","12.3","8.8","8.5","6.2","8.3","7.2","8","8.6","6.9","6.1","5.8","5.9","5.5","3.7"
"Красноярский край","12.2","9.7","7.8","9.2","8","9.5","8.7","7.6","6.4","9.4","6.2","6","5.5","5.7","5","6.2","6.1","5.7","4.9","4.5","6","3.6","2.7"
"Иркутская область","11.6","11.2","11.1","11.2","10.3","9.8","8.5","8","8.5","10.8","10.1","9.1","7.8","8.3","8.8","8.2","8.8","8.7","7.6","6.6","7.7","6","5"
"Кемеровская область","10.6","9.9","9.3","9.9","9.9","8.6","7.4","6.2","6.6","9.7","8.9","8.1","7.1","6","6.2","7.7","7.9","7.1","6.1","5.5","6.7","5.4","4.1"
"Новосибирская область","13.3","12.4","11.4","11.1","9.1","7.9","7.4","7","7.3","10","7.7","6.8","5.6","5.9","5.1","6.9","7.4","6","6.7","6.1","6.7","6.1","4.7"
"Омская область","14","10","9.5","9.7","9","8.7","9.1","8","7.8","8.5","8.1","7.9","6.9","6.8","6.7","6.8","7.2","7","6.8","6.5","8.9","6.5","5.3"
"Томская область","13","9.9","11.2","13.7","10.1","10.5","8.9","6.8","8.1","8.7","7.7","9.1","8.4","7.6","7.6","7.7","7.2","6.3","6.3","5.5","8.7","6.8","5.2"
"Дальневосточный федеральный округ","12.6","10.2","8.7","8.5","8.9","7.9","7.4","6.6","7.7","9.2","8.6","7.4","6.7","6.5","6.4","6.3","5.8","5.6","5.3","6","6.5","5.7","4.8"
"Республика Бурятия","19.1","18.4","15.4","17.8","15.3","12.2","14.2","13.1","12","13.7","10.4","9","7.9","8","8.4","9.2","9.6","9.6","9.3","9.2","10.5","9.5","7.4"
"Забайкальский край","14.4","16.2","11.1","14.2","12.6","8.6","6.2","8.7","14.9","12","11.1","10.6","10.6","10.5","10","10.4","10.8","10.7","10.2","9.3","9.8","9.3","8.7"
"Республика Саха (Якутия)","11.2","8.2","7.1","9.4","9","9.2","9.5","7.7","9","8.7","8.9","9","8","7.4","7.4","7.3","7.2","7.1","6.9","6.9","7.4","6.9","6.5"
"Камчатский край","16.3","14.5","11.6","12.4","10.3","8.4","8.1","9","8.6","7.5","7","6.1","5.8","5.7","6.1","4.5","4.1","4.3","4.9","3.8","3.8","3.5","2.9"
"Приморский край","12.3","8.7","9.1","8.3","9.7","8","7.9","6.9","7.4","9.5","9.5","8","6.9","7.1","6.9","6.9","6","5.4","5.4","5.2","5.5","4.2","3.4"
"Хабаровский край","12.2","10.5","7","6.2","6.6","5.8","5.8","5.6","8.6","10.2","8.9","6.6","6.4","5.7","5.9","5.3","5","4.9","3.8","3.8","4","3.1","2.6"
"Амурская область","13.7","12.3","10.7","9.8","11.7","9.9","8.2","6.1","5.4","8.3","6.9","6","5.3","6.1","5.6","5.8","5.9","5.9","5.6","5.4","6","5.2","4.2"
"Магаданская область","11","11.4","8.2","10","8","6.9","5.3","5.6","7.2","6.5","5.6","4.5","3.4","2.9","3.1","4.3","4.4","5.3","5.1","4.6","5.7","4.9","4.1"
"Сахалинская область","13.2","12.1","9.4","9.4","7.4","7.7","4.8","4.6","7.4","9.8","8.9","7.9","7.7","7.2","6.5","6.3","6.3","6","5.3","5.2","5.5","5.3","4.2"
"Еврейская авт. область","15","9.4","9.1","6.9","8","7.9","9.8","9.3","9.6","8.5","9.3","8.5","8.5","8.3","8.7","7.9","8.2","8.3","7","6.2","6.3","5.7","5.2"
"Чукотский авт. округ","10.3","7.4","4.5","4.9","3.5","4.2","3.7","3.5","5.2","4.6","4.5","5.6","4.3","3.3","3.2","4","3.5","2.9","3.1","3.8","4.4","2.6","1.9"
