"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Удмуртская Республика","773","6738","13912","17988","21008","27162","30312","35376","39375","44748","53783","55192","2576","5720","8844","12397","15035","17634","21242","25295","25983","80293","84305","84715","6722","12911","16293","18984","26661","49204","58104","60441","69459","78620","91091","91976","8152","15491","24617","32367","36892","45591","50855","55994","63945","71863","81316","85851","5446","7119","2374","2943","7969","14849","18850","23888","27264","39517","46444","55029","5192","10256","15075","25117","32660","39206","46789","57453","63374","75567","84365","99658","10352","19510","21873","31248","37107","42864","46792","53559","57017","66336","75344","71051","3833","8280","12721","16811","26952","30150","40252","54148","62838","78264","89960","94594","10561","18410","32467","48493"
"Чувашская Республика","-690","-627","-634","-311","339","-822","-16","3086","1672","2292","3064","-7967","-45","71","1846","404","1220","3242","3488","4517","2102","3208","4890","-214601","621","1522","2544","3383","4884","6638","8976","10491","11932","13507","15380","-7761","1332","2311","3695","38575","40788","43414","45666","47417","49483","51811","52023","49953","1037","2071","4409","4588","6588","8550","10493","-26586","-21966","-19714","-17708","-25615","1419","2526","4310","6957","9518","10992","12571","15094","16800","20550","24467","19263","1347","2490","5897","7334","9143","11840","14713","15549","19909","22852","26489","31638","2702","4189","8542","15852","20857","28968","34268","41162","47711","56130","60816","64916","6878","15719","20022","26340"
"Пермский край","5655","22511","63226","94763","101883","119205","116687","141701","159272","174236","171667","205276","19320","41977","57990","68721","84527","87752","101442","118945","137308","157524","175564","187402","22754","39423","45120","47031","69832","93328","110439","107192","143427","171507","189263","196823","38654","63788","89150","116519","145381","168831","193550","211861","241765","269461","297679","313791","17493","20239","-1122","17311","33647","49577","57734","72381","88477","96699","130058","151921","18913","50702","70725","95255","129554","156791","188848","225051","268305","326598","368981","412299","49073","98586","142693","222474","286144","334137","353374","390814","402618","426716","453279","443351","21246","36878","52782","84973","120652","134315","166903","212086","246155","304066","346030","333284","30238","84365","107291","157006"
"Кировская область","446","1020","2348","4256","5166","7635","8555","9057","10582","11379","12510","13759","798","1802","3071","3924","5426","6735","8395","9458","10252","11136","11749","13104","806","1735","3091","3080","4517","5351","5991","5779","7081","10181","9120","8715","682","2386","3905","4823","5075","6022","6622","6836","7300","8646","10167","9671","265","1544","2086","4615","6219","7886","8285","9578","11085","13214","14605","16073","1559","2342","4934","7289","9400","12816","15236","18947","22212","26728","30142","30075","2155","4023","8430","14608","17332","18208","20469","21926","23954","25231","27379","34808","2229","4922","7277","10999","13042","18037","21506","24580","28843","30966","32640","38262","2713","5585","7804","11235"
"Нижегородская область","3896","10262","29632","29956","38809","54121","61472","74636","85494","99594","113557","145822","6054","13539","37155","49514","50158","61096","74664","84875","99054","112971","128994","143194","7733","16711","28401","47026","63771","77421","80394","101673","114035","122459","147569","158254","9802","17418","24916","18904","36692","25786","43062","69118","78054","95569","107793","128168","17646","33278","55322","64469","65882","52283","61022","79269","95877","117345","148488","153518","14435","28353","44198","51232","70716","104993","130965","154215","183718","220410","262869","301752","19650","65414","85907","110779","139600","158544","196083","212776","239477","272995","312652","369389","20686","67286","105530","153713","199587","237977","286839","363429","414737","455412","476198","518394","25403","61565","97980","134892"
"Оренбургская область","10609","16794","20751","27681","40207","51048","62175","69891","76591","84646","94651","94898","11990","20230","27192","34523","44908","50562","59923","68859","70747","79208","87395","91474","13267","25021","31897","37640","54396","70794","84261","95317","109082","126422","141077","151080","10591","22024","36982","51099","65443","78666","87593","94633","103489","116055","116804","111562","8133","14017","12274","8814","12927","18010","21234","29046","32071","39342","58457","62880","17253","30493","33086","57135","84725","92699","115059","138504","134956","185258","205264","212904","23376","37332","37541","66271","93929","112103","124010","137037","140992","150049","165464","156464","5432","13407","15649","28292","51436","51155","67737","87694","94085","138397","169505","156499","20077","39585","50454","77696"
"Пензенская область","-1258","-810","1554","3452","5027","6771","6413","8414","9822","11034","12489","14708","1937","1093","2251","2789","3980","4267","5697","6393","7450","8558","11944","11944","606","1238","31","162","1249","1601","2137","3042","4342","5942","7506","9774","1412","3125","3048","4035","4797","4906","5108","4982","6894","8699","10122","12447","1488","2167","1181","3863","4331","5356","6752","9225","11048","17358","21086","28007","1792","3779","4655","7473","10591","13021","14884","18146","19557","26259","29491","38340","2357","1851","6592","10215","12076","18339","19279","21967","25094","28867","32081","40389","2727","5454","8185","11154","14415","19252","22807","28159","43265","49722","56637","56524","4915","9376","13877","18412"
"Самарская область","9320","20509","39765","59238","78107","87440","94739","110729","120918","137456","147954","157852","14423","29319","46481","63633","80728","86511","101900","117639","127572","138975","156793","165721","15459","33881","43334","62019","86662","104555","129348","151039","175689","205194","281555","241440","19530","45075","58985","85977","112157","131060","147219","164301","178171","201033","217004","224386","21689","43675","55627","60847","57344","75643","99158","115109","126546","151380","168273","179910","27323","53826","68003","97209","130289","154197","193085","228831","233897","279294","329899","346161","58588","119095","133149","146335","152228","157059","194490","214170","217029","261030","281705","295862","24302","49563","55512","94943","135762","147827","191372","246769","342404","395448","429179","399655","46231","96617","114158","157602"
"Саратовская область","193","1750","8058","11224","12045","17462","17118","21447","26827","31174","34701","36395","3914","8935","9630","12420","14689","15937","20040","24115","26884","30119","32675","37003","3749","7698","9693","11276","14957","17754","22296","28049","28573","35628","39090","34124","3185","7449","9383","13415","17427","21757","26534","30422","33118","36190","38265","37221","3130","5626","1947","5483","7247","10053","13795","15350","16419","22676","23888","27521","4902","10748","16029","22542","28791","34706","42468","47547","53241","62986","69962","62573","5554","9697","12518","20653","25094","27741","32750","38542","40024","45222","54351","58195","7400","16299","19595","31447","38706","44365","52102","61130","68517","79434","88184","97541","7506","15054","18108","28696"
"Ульяновская область","239","1525","1663","1649","2366","6791","6362","6707","9035","8082","13353","14836","-625","2354","251","1188","1281","-2075","-1527","-902","712","1080","1072","14369","-1823","-900","-171","-1537","-1313","984","112","819","-413","6683","7447","3869","363","2126","15614","14222","13498","15168","14273","13514","14294","14537","16827","10686","-2157","-658","784","358","852","39","-2242","-2190","-804","663","1967","6084","-400","-688","-100","2047","2121","5384","6082","6464","8536","8578","14785","22192","2105","3151","8596","10228","8138","6220","11668","11616","11255","15151","20512","23353","946","6541","9540","11575","13615","18591","19654","22224","19443","26497","26692","27599","2105","14035","14835","15975"
"Уральский федеральный округ","108617","179984","229800","372904","575314","676153","822326","909994","1051284","1143680","1507987","1448995","103769","243132","344507","457820","567837","848492","864560","961744","1084953","1256005","1440929","1551937","142162","304209","439416","662023","985600","1232294","1409968","1713951","2145154","2422969","2645349","2746060","181771","409535","620370","901361","1161506","1283501","1582132","1919317","2041317","2211718","2417536","2439545","265783","522765","719773","711875","703610","805710","1056562","1243016","1451564","1618050","1758594","1835154","310746","525078","764796","1109998","1435780","1759397","2178573","2646467","2884042","3295208","3944518","4338550","622880","1215417","1445652","1733281","1616371","1942441","2561148","2890541","3076575","3509339","4076887","4182079","291532","743219","931001","1469285","1928758","2243429","3443837","3411183","3837997","4297362","4695734","4797029","429204","884802","1212911","1714857"
