"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель"
"Республика Тыва","-96","-495","1532","2207","1392","1983","1763","2439","3096","3590","3609","5011","642","1261","6760","6494","6498","6994","5031","5041","287","498","2888","6189","2531","2736","4536","3876","4224","7196","6884","5821","7219","6674","7062","6907","1445","1871","2108","2856","3415","3975","4382","4336","4018","3404","3472","2049","-130","-137","-1561","-1010","-718","-876","-3251","-2792","-3857","-2955","-3025","637","-80","1199","1530","2808","3778","4635","5376","5938","6644","7634","8134","6753","506","1492","3146","5488","6813","8629","8331","9028","9227","10081","9830","10269","546","656","571","1616","2856","3799","3940","5007","5875","6926","6816","9500","471","919","590","2010"
"Республика Хакасия","90","1381","5419","7487","7065","9303","9627","11569","13098","13944","14187","16986","1727","3817","6105","6145","7611","6655","7799","8799","10793","12344","12805","14096","1302","2967","3550","2743","4815","7326","9396","9424","13323","15262","16065","16628","2425","3876","6534","6728","6701","8515","8656","7515","8135","7673","8906","9888","-406","-2214","-5777","-2013","-841","356","-946","-500","-1626","-686","1944","2448","1787","4751","7625","10787","13773","16862","20341","24774","29478","36516","42057","46958","5651","11493","25737","36936","43437","44950","52219","56712","55224","56186","57703","59474","2029","5557","10147","13648","17391","18463","19879","21634","22524","25818","25514","25997","71","134","2114","2783"
"Алтайский край","2547","5240","6002","8001","10290","9063","11842","13291","15896","19539","24010","24623","5512","8297","8502","12500","12310","15415","18227","20609","22972","25865","28882","31585","2589","5490","6966","9704","11008","12366","14984","18164","19263","21345","23619","25211","3209","7451","10756","13736","18740","22644","26067","30336","34047","37884","41158","41286","3785","8066","15365","19078","21770","26158","29410","34855","40910","46690","52615","58597","6483","14315","22945","32691","40020","48686","56923","64152","74413","85666","98674","108868","8667","18376","29229","40426","46663","51817","58426","63509","70526","72316","79602","88553","6802","15813","25470","33963","41064","51423","60158","70142","79234","89373","98363","104506","10052","20079","29713","40322"
"Забайкальский край","-718","296","3603","4370","4972","8375","8948","10693","11213","13456","13773","16296","1403","2436","3755","4557","4673","5085","6261","7335","8401","10011","12682","12816","326","693","253","-3853","-4045","-3968","-2977","-6361","-4285","-797","-1375","-5203","5422","7792","10554","11412","13543","16746","18970","18771","22434","27007","30962","35460","1805","-257","-3597","-1980","2952","7182","8974","12135","16123","23363","32731","35095","2406","9277","16781","23796","31951","40137","51424","61279","70504","76012","86058","88227","10745","25057","34000","31039","32360","24789","38320","40483","41407","48540","52050","60789","6044","18490","26174","37049","39354","49008","57944","77276","87434","96947","93410","100759","9594","22221","35700","47272"
"Красноярский край","18365","64974","150020","205291","241782","300867","310174","347449","506839","553670","554111","629296","33931","97153","134746","158065","194712","191663","225725","278376","300696","364713","409308","467017","60931","120396","137194","147434","211085","266200","325168","337925","437295","504650","559139","538253","91788","174520","254038","302354","376664","485657","487086","493017","804825","893814","1005715","1091612","56744","94380","5932","117579","215574","328504","389296","468133","344861","444257","569943","1044937","46675","148246","341155","301122","420855","476629","609996","698903","768520","909806","993095","1123004","62849","79240","200217","488156","662201","834218","745269","824035","898343","909429","1000865","770060","77859","102318","235207","324148","433561","582846","594799","635342","596335","784245","1113926","1172973","83163","117246","274911","409088"
"Иркутская область","18572","29112","47165","60773","75035","92338","107810","127680","147071","163021","174920","184021","18769","39541","62393","74377","91066","121015","135997","153747","167729","180609","199695","203618","22631","32948","56966","76841","105195","133541","168534","199394","231464","262858","296679","311927","17854","44111","70042","94342","120907","152212","178277","216299","231418","258503","274039","291878","26373","53738","86293","99135","107816","134186","155394","177210","191181","222574","238365","226596","25964","44226","65333","91529","122078","151021","193388","217204","251975","283774","343213","402749","46509","99948","165737","208804","235682","255829","290207","310804","320726","349520","377762","404622","34930","64969","95978","128857","170465","194207","232887","272421","304600","359880","403835","422738","37403","63852","81596","130393"
"Кемеровская область","-6027","-2011","18610","39260","42452","60337","60473","73308","85516","103379","115969","137715","33218","66410","95365","108746","125952","146839","167274","192541","215727","249293","270994","283945","25500","47926","61925","72822","94638","143335","171390","186325","224459","256470","281212","234765","30572","52536","75353","99644","132914","114895","119157","114400","123416","129664","128215","120171","-1650","1820","-14863","8659","19464","9378","-2908","-4693","-8231","2102","19303","-8736","4632","36329","76901","121761","155959","194700","243073","302202","375562","491794","603516","685157","86924","171334","334922","462504","532220","536997","603421","630707","643288","668326","685303","687023","32893","87286","138380","218816","251278","287068","316746","339784","364673","356851","369488","343656","10335","26868","34987","50341"
"Новосибирская область","1866","2770","8956","13632","17328","24546","26892","31025","29052","31651","37234","39896","5377","6564","11522","14435","18865","26978","27727","35474","54158","53447","61844","75297","7532","9818","14075","25297","31069","44278","54832","66924","72628","85633","91807","101045","7657","15009","18960","25457","34445","41867","55845","64431","69735","76399","81188","83791","9228","14834","24284","27289","31222","34424","39951","50939","62392","71555","73897","85557","9891","18454","25628","37322","47635","71319","86663","104741","119795","139326","219408","175754","15501","43574","74057","88992","111736","103371","118241","145833","157353","190677","207687","235956","25242","50070","54847","67260","84839","109339","142596","142882","171386","191508","216917","261466","21863","40252","48427","72027"
"Омская область","2425","5760","9130","12911","16405","22545","16358","23023","24291","27284","30016","32492","6062","9263","12934","16115","19521","22787","26537","29523","31924","34621","35394","34094","3914","8559","8746","11247","14063","18477","20630","26167","29841","32231","35361","38653","4099","7619","9662","16582","19394","22493","24560","27904","32269","41072","43833","44900","5194","8467","13268","17764","19562","22410","25562","31378","34516","37965","43626","43032","5808","10074","14955","22260","28399","27622","32158","37038","43630","49457","55752","57754","7440","15330","20128","28147","31208","38112","44153","50853","51529","57423","60543","63845","9155","15963","22336","33234","42169","43173","50819","60471","67868","75037","83849","88930","9210","16083","24532","29095"
"Томская область","4449","6262","13681","22114","28638","36915","39925","45707","50162","53749","57952","61717","7518","12045","13974","17544","22174","32309","36010","39367","42819","50343","57001","51940","6146","13296","14197","18722","25304","33465","43652","48645","61055","72099","79203","84323","7466","14371","16121","22059","28677","41735","47150","49452","55432","61583","64485","60887","10391","8887","5624","9360","1307","8282","9246","8060","2185","6096","9232","15779","4641","10884","12709","16364","25545","28530","33900","38637","37974","50704","52765","65752","8083","15422","14401","19611","25508","36230","28876","26038","29841","33929","37815","53610","4904","9231","3362","16986","21220","22356","33662","39127","50654","66722","82233","73814","9261","17421","13793","20448"
"Дальневосточный федеральный округ","20405","70102","180497","247879","281246","333491","349072","396807","473093","519518","549574","646906","54692","111545","150598","187850","227420","243421","284010","317194","370314","407816","449612","474571","62273","120087","176381","226287","275776","348666","412632","461827","566561","664658","763136","845957","102948","187932","263836","338462","412069","472209","535529","617212","687823","796572","861590","887129","75906","122545","57302","180733","265405","305716","347456","394202","461459","553102","695013","800086","61133","173249","252399","368625","474044","612743","727126","855623","1012433","1177516","1296598","1518220","155499","173634","395341","733303","946011","1074398","1156447","1263356","897230","854054","950920","1177543","155186","236066","346056","438281","596946","629742","766535","958263","1267720","1469165","1693489","1801047","187503","328210","614915","819330"
"Республика Саха (Якутия)","-3514","28158","72757","111540","123545","138611","146320","156335","174013","186301","196032","248755","17739","31534","51959","62477","78638","93072","102189","109833","127894","137128","147238","109851","20045","43198","59695","80259","84334","112956","134045","150174","180027","196844","211262","164499","24513","41935","59596","78325","93206","126194","140679","160949","174934","203740","214645","196162","16663","21578","6333","60524","72261","77432","93518","108692","137579","159868","203864","228959","21516","46062","56628","89088","113875","149666","177451","211524","255236","300160","333093","363973","71119","53698","139494","181123","212685","252919","284798","290194","290830","319961","338980","327292","39672","70634","91624","130942","162401","158348","204680","259044","312210","355622","367180","368565","28537","69197","78743","107299"
"Камчатский край","1679","795","6165","5183","6859","19010","15659","17985","28681","30630","25341","31367","2277","5312","8253","7251","8608","10985","11540","12052","25625","28648","29316","36077","2839","3782","11035","7781","9622","10413","11720","13624","18907","25363","31596","36952","4067","7078","15632","17813","21023","23279","26199","27403","38151","57545","48649","53038","1962","4982","4473","13150","16189","16754","17222","23827","23432","27560","32476","43495","1956","6412","7981","11590","14118","18574","22970","34855","45616","47388","51693","74199","2992","2123","10476","25734","34180","46582","39529","43240","45207","44916","45816","41230","4887","405","6112","6508","11705","9496","10569","15876","19078","30873","43089","42079","6707","11057","16763","21190"
"Приморский край","2715","8803","24498","24653","26567","29499","32621","38030","42309","49490","56626","67163","6783","13100","15090","20275","25338","25351","32072","37845","43245","48711","54396","60318","5069","9047","16729","20958","30531","36336","42291","45945","50112","69842","78587","156165","21434","30207","25349","41104","48291","54699","46958","54898","58280","71166","78395","84562","14546","21503","8956","26652","32714","44060","47519","54519","66475","72891","87032","129678","4557","19382","32261","44738","56919","69574","83886","93632","106470","120939","128975","225557","15962","33050","64264","86906","114399","112321","140709","215959","-55716","-171429","-150297","152770","24926","53668","66398","91402","121118","127575","156861","181670","195381","203317","245903","285782","22381","37184","191986","221399"
"Хабаровский край","1475","5267","26823","36216","34157","40947","36072","46327","58013","61514","64633","67449","4912","15226","15259","17982","19325","4495","10826","11703","13805","17812","20243","23704","5542","10397","13259","9124","10657","13123","15276","14941","17900","25452","27652","15790","12234","25510","29797","33967","32468","27994","30727","33171","35527","39799","48463","44978","4022","2197","-6700","4051","12840","15576","13883","20574","15038","25479","35619","38271","5648","16690","18471","30504","37799","44527","55344","63071","71419","83302","92229","107547","3533","10598","7556","31225","44942","55870","51764","58683","63274","61728","68562","55780","7114","9850","27602","32854","41691","41800","47648","55014","160828","173728","181272","119466","5817","13695","32080","47019"
"Амурская область","1545","4324","4937","6133","7472","9349","10345","12037","14383","16309","17039","19406","1663","3199","3738","5390","4188","6459","8318","10103","10023","12203","14031","10374","913","1814","2024","2639","4211","5823","6446","8279","8818","12096","14648","14303","962","2782","6499","5032","8847","11727","15186","14437","18938","21643","21982","27353","2071","5259","-52002","-25605","-8240","-10432","-9482","-44129","-56616","-55226","-39131","-31563","-3642","5891","14487","16495","22740","40187","41066","46307","60796","80180","63422","66400","-18561","-85731","-93032","71816","169337","238986","168397","185630","219571","172617","157592","45145","3753","-43439","-76877","-114678","-96981","-161437","-199974","-227057","-259684","-222149","-136162","-138118","37538","29128","31734","60622"
"Магаданская область","1168","1573","9884","13023","14615","19458","23628","28344","35223","38447","41632","46409","1669","3815","4406","5487","6364","11243","13529","16435","18938","20997","25842","28352","1650","3089","4479","5060","5681","7958","11659","13816","27197","32206","33684","36301","2861","6029","8922","12059","19827","22979","30177","36217","43865","47005","56720","58091","1117","4570","4896","12313","19375","28389","40464","53927","62015","76093","88941","80529","1852","10487","15477","26431","34203","42356","54457","65967","72714","86195","91423","78087","6858","7437","18172","36355","25325","27465","38978","40852","56920","57433","58380","50484","8229","6974","14298","21505","26407","27302","38591","60944","74074","77338","75534","75890","3750","9334","14958","20651"
"Сахалинская область","13339","16430","29223","38800","52214","57865","64338","71769","87367","99062","109859","129833","17692","35449","47988","65354","76759","83288","93923","107050","116091","126136","139812","188985","25524","46062","67107","98104","126913","156154","184719","202535","249782","285290","320565","380863","28485","62457","98296","127973","161878","171101","206069","243963","266195","294516","324496","351928","31783","57311","92513","81307","100058","101395","108192","125096","140048","155751","173827","188799","21546","46576","65293","95695","127548","160803","182810","205158","246193","288451","340808","403023","57817","112197","177062","222893","255759","262708","329840","309283","157521","233344","286535","340223","59926","115081","174756","207288","259221","311359","376984","447561","580042","644470","705205","817036","71464","123334","190898","262689"
"Еврейская авт. область","-735","-782","898","1684","1138","1676","829","1384","1779","1828","1412","-57","128","215","826","870","1145","431","205","436","584","868","974","255","-68","246","-330","-1306","-1598","-1694","-1620","-2655","-2276","-2351","-2499","-3438","616","-83","814","1003","678","1160","1392","979","1551","1685","1662","1546","-324","-1016","-3555","-2261","-1535","-1325","-1599","-1448","-2401","-1615","-159","183","-98","2370","3122","4253","6067","6859","8675","10904","11242","12428","11924","10249","-18","-583","770","3582","3528","4125","3112","3729","2557","2047","1639","-156","218","-93","-238","985","1250","858","757","613","380","1092","1118","-1223","500","793","187","-197"
"Чукотский авт. округ","2733","5534","5312","10647","14679","17076","19260","24596","31325","35937","37000","36581","1829","3695","3079","2764","7055","8097","11408","11737","14109","15313","17760","16655","759","2452","2383","3668","5425","7597","8096","15168","16094","19916","22240","21142","825","1288","3908","4658","6568","8243","10633","15242","15702","19676","21428","20399","2107","5126","4397","8520","12447","19215","20618","28759","43102","49780","58237","59731","2999","4813","11256","10246","12169","20699","27530","36435","40460","45250","53833","60183","4677","8401","12673","12719","13857","7563","10244","15469","13974","15288","18296","17815","-3661","-5190","2123","3859","6415","34952","36564","43480","51963","61617","69942","77627","-908","6937","15177","22210"
