"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Республика Мордовия","","1597","1420","1672","2615","2627","2626","2638","2740","2913","2925","2839","2619","2716","2595","2674","2490","2438","2544"
"Республика Татарстан","","2200","2363","2792","3492","4076","4847","5151","5280","6025","6675","7355","7648","7694","8304","7178","6729","7264","7668"
"Удмуртская Республика","","3339","3339","3221","3654","4710","4565","4621","4878","4466","5718","5631","5651","6352","6642","6790","6965","7056","7021"
"Чувашская Республика","","1788","1860","2247","2202","2294","2497","2597","2691","2895","2978","2982","3167","3407","3527","2462","2501","2584","2578"
"Пермский край","","3952","4681","5218","5300","5182","4510","4392","4395","4596","4764","4815","4216","12381","13690","14462","16185","17063","16504"
"Кировская область","","1684","1839","2153","2044","1985","2249","2228","2264","2334","2337","2429","2449","2735","2835","2758","2730","2925","4333"
"Нижегородская область","","27837","27479","26505","22126","14637","12781","11092","11440","11423","11632","10722","8633","8516","8639","8249","8711","8584","9030"
"Оренбургская область","","506","544","656","664","694","734","751","850","921","930","1090","1154","1504","1265","1636","1689","1727","1806"
"Пензенская область","","808","850","1072","1189","1225","1134","1206","1393","1452","1694","1613","1727","1857","2002","1929","1953","1977","2036"
"Самарская область","","4502","4988","5300","5651","6189","6870","6688","7291","7769","8630","7568","7506","7852","8037","7425","7229","7422","7563"
"Саратовская область","","4611","4768","3988","5612","5911","4359","4630","4664","5087","5437","7529","7363","7628","7734","5499","6505","7133","7814"
"Ульяновская область","","1727","1339","1482","1561","1488","1685","1798","1717","1679","1821","2220","1850","2618","2081","1729","1921","1944","1996"
"Уральский федеральный округ","","15943","18930","18737","22466","27416","23648","24720","23746","22832","24161","26786","28588","29813","31979","30512","33325","32474","33460"
"Курганская область","","736","653","548","738","836","835","966","995","1106","963","1727","1684","1834","1584","1238","1290","1291","1387"
"Свердловская область","","7577","9953","9537","11604","13246","10337","10704","9595","9050","9697","10379","10662","11352","13102","15026","16455","14218","15732"
"Тюменская область","","3988","4203","4340","5550","8180","6675","7242","7471","6785","7170","7680","8936","9269","9709","8869","9114","9495","7900"
"Ханты-Мансийский авт. округ - Югра","","1027","1022","1243","1277","1495","1484","1839","2049","1328","1309","1969","2309","2915","2602","2180","2252","2425","2062"
"Ямало-Ненецкий авт. округ","","1573","2018","2049","2742","3628","3769","3920","3971","3930","4052","3627","4354","4242","5178","4288","4598","4768","3520"
"Тюменская область без авт. округов","","1388","1163","1048","1531","3057","1422","1483","1451","1527","1809","2084","2273","2112","1929","2401","2264","2302","2318"
"Челябинская область","","3642","4121","4312","4574","5154","5801","5808","5685","5891","6331","7000","7306","7358","7584","5379","6466","7470","8441"
"Сибирский федеральный округ","","11327","10646","11867","13527","14950","13807","14626","15264","16478","17741","20097","21194","22040","23452","22734","23507","24201","25154"
"Республика Алтай","","","","","","27","82","103","170","184","177","118","86","203","224","271","251","259","279"
"Республика Тыва","","4","2","1","3","4","8","11","14","28","25","36","60","69","69","122","143","155","165"
"Республика Хакасия","","182","349","413","352","347","322","334","352","298","283","400","606","264","643","679","762","815","863"
"Алтайский край","","1776","1452","1350","1423","1457","1511","1709","1959","2236","2144","2173","2408","2387","2598","2847","2649","2731","2855"
"Красноярский край","","948","1354","1455","1352","1937","1979","2261","2388","2445","3314","3751","3787","3922","4275","3932","4145","4421","4457"
"Иркутская область","","1454","754","1230","934","1031","988","977","1108","1480","1573","2362","2608","2909","3001","2583","2693","2382","2538"
"Кемеровская область","","1223","1166","1353","1507","1681","1926","2117","2290","2540","2842","3450","3672","3887","3963","3896","3992","4271","4624"
"Новосибирская область","","1635","1860","2019","2164","2483","2457","2538","2619","2790","2878","3064","3219","3507","3563","3365","3549","3714","3784"
"Омская область","","2712","3085","3144","3942","4165","2632","2698","2780","3016","3035","3145","3145","3147","3194","3326","3458","3599","3658"
"Томская область","","1393","624","902","1850","1818","1902","1878","1584","1461","1470","1598","1603","1745","1922","1713","1865","1854","1931"
"Дальневосточный федеральный округ","6320","4416","5602","6260","6945","6978","7867","7081","8180","8541","9195","9068","8938","9234","9718","8865","9344","8988","9509"
"Республика Бурятия","840","607","527","442","479","383","233","297","262","275","344","380","411","478","538","582","671","678","705"
"Республика Саха (Якутия)","2538","546","412","399","450","494","597","880","867","600","704","798","755","834","892","811","930","892","1213"
"Забайкальский край","76","113","675","814","894","1006","1039","974","1117","1310","1506","1315","1357","1211","1347","1368","1470","1246","1357"
"Камчатский край","95","115","205","159","168","171","137","129","158","206","312","291","324","601","720","492","506","620","486"
"Приморский край","1049","1104","1401","1747","1608","1192","1404","1204","1311","1269","1190","1209","1271","1198","1285","1396","1367","1386","1426"
"Хабаровский край","1561","1614","1763","1978","2258","2347","2559","2144","2656","2595","2571","2552","2602","2799","3006","2175","2134","2033","2082"
"Амурская область","97","124","197","202","229","246","449","342","540","639","668","658","696","677","638","800","988","745","717"
"Магаданская область","","115","200","308","347","420","387","513","607","483","617","610","588","571","434","375","416","440","442"
"Сахалинская область","22","23","175","153","442","576","906","478","517","627","723","753","629","532","618","488","481","574","670"
"Еврейская авт. область","42","55","47","58","70","143","156","120","145","145","158","92","84","86","98","189","221","209","233"
"Чукотский авт. округ","","","","","","","","","","392","402","410","221","247","142","189","160","165","178"
