"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Омская область","11457.5","28687.7","52716.5","93453.3","12161.7","31742.5","54917.4","98658.7","13473.7","34716.1","68703.9","121385","22050.1","64255.5","127649.6","172266.7","39488.6","78175.5","133098.7","200449.9","35231.1","77738.2","124266.3","191473.5","31692.2","78744.5","129685.3","194430.8","28415","73287","132556.2","207952.3","33434.3"
"Томская область","18295.8","47369.8","73620.7","104385.4","17428.4","42832.6","67055.2","98465.7","15010.8","40798.6","64180.8","96223","19326.1","40584.8","66929.3","101716.4","22003.6","41776.5","69661.3","101399.2","14654.5","35558.8","64231.4","107764","16965.2","40602.8","70776.8","123553.3","22944.6","53267.9","89039.5","148517.8","31551"
"Дальневосточный федеральный округ","147335.6","354649.2","621159.1","1000776","186113.2","440433.1","720066.9","1149634.9","224808.4","540245.2","912948","1443596.9","237143.5","584731.6","1012477.6","1660711.1","240657.4","591846.5","986073.5","1668429.4","266629.9","714897.8","1226638.4","2025562.2","349351.7","886091.6","1481424.4","2581281.5","486998","1203497.2","2057240.2","3393516.8","599734.4"
"Республика Саха (Якутия)","39985.9","93195","180614.9","275576","64060.7","146259.1","235789.7","386790","80590.1","182939.5","275618.1","403573.7","82925.9","166693.7","284137","420943.7","51558.2","109593.6","166333.5","259086.5","50969","151249.6","255674","414796.8","74898","184662.4","322836.3","645672.6","88927.9","236682.2","425169.9","739455.5","117353.4"
"Камчатский край","3753.5","10245.7","19870.1","37298.2","3310.6","10321.2","17761.5","39007.1","4000.6","10949.6","21418.2","40301.3","3808","11634.3","23047","46742.6","3442.4","16395","37516","58395.1","6124.7","19708.9","33136.1","78471.3","7751.3","33179.5","46791.6","94667.9","13513.1","34321.7","95949.7","128156.7","11843.7"
"Приморский край","14700","42700","66380","130499.7","21543.3","50198.1","80212.2","130934.5","18071.4","54522.7","92671.3","144523.3","20215.2","60463.6","102897.4","182119.2","33730.7","90178","133546","229460.5","29135.9","81073.8","140612.4","253355.6","36914.9","92128.9","197095.5","321001","58530.6","144423.4","224787.5","400584","73378.2"
"Хабаровский край","14351","36522.9","68293.7","120091.1","17208.3","45323.2","75861.8","121185","20118.8","56045.3","94271.1","143706","21563.1","61303.5","108172.2","178207.8","30419.9","71304.3","132387.5","243359.3","29563.9","86967.1","135747.5","246365.7","48684.9","111159.2","172507.9","281415.8","73613.6","167411","254682.7","418705.2","106578.5"
"Амурская область","17868.7","41463.7","73387.5","129816.1","28122.4","76482.4","124457.1","192469.4","31868.6","83309.9","150058.2","251184.4","41291","106211.1","195305.6","340966.5","41449.9","117501.4","201842.9","360433.7","63066.7","156224.1","277823.3","412200.8","70765.5","202047.8","308440.2","488038.2","120372.2","272022.1","464396.2","751058","156112.8"
"Магаданская область","4965.8","10523.6","27658.2","41798.2","5193","12762.4","24028.6","43891.7","11982","28993.7","44271.3","57640.1","7055.3","16184.8","24642.6","41237.3","6748.8","16498.5","27252","47192.7","10301.5","28047.1","49026.1","75193.4","9922.6","28231.3","51430.3","81501.9","12324.4","35010.6","61124.5","97144.3","14719.6"
"Сахалинская область","49603.2","113165.8","172513.2","240010.8","44693","92139.6","145940.6","211815.1","40449.5","76302.4","137666.1","229594.8","39094.9","97737.3","160670.6","238383.7","49484.7","93013.5","152388.8","230493.9","38819.3","86800.7","148284.5","241353.9","46412.3","87999.9","140776.2","269386.1","34473","89323.4","168267.3","305370","47749.5"
"Еврейская авт. область","1085","4627.6","6952.1","12929.4","1093.5","3906.5","7982.3","11041.9","1048.1","5017.1","10291.9","17153.7","2764.1","7180.3","10579.8","15885.6","1504.3","4959.9","7999.8","16494.5","2524.1","6259.8","9978.7","16827.4","2549.9","9593.5","14254.4","20900.9","2914.9","10341.5","14503","29326.8","2929.9"
"Чукотский авт. округ","1022.5","2204.8","5489.3","12756.6","888.4","3040.6","8033.1","12500.1","1703.4","4536.5","9403.2","17381.2","1687.1","7156.6","12626.1","27211.4","2864.3","8939.1","16493.2","31475.7","7409.9","18017.3","32278.8","50752.8","10742.1","28157.3","49967","81379.4","16069.7","33255","59539.8","88174.2","19939.3"
