"region","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Ростовская область","409.8","487.2","672.6","839.8","821.4","909.2","1187.7","1335.1","1440.9","1497.7","1646","1854","1961.2","2170.3","2183.1","2335.3","2958.2","3090.8"
"г. Севастополь","","","","","","","","","","7.1","27","52","38.2","43.2","47.3","49.9","61.5","74.5"
"Северо-Кавказский федеральный округ","273","320","453","534","552.7","652.9","800.9","874.9","928","998.9","1049","1148","1158.1","1254.1","1210","1248.6","1542.5","1733.9"
"Республика Дагестан","31.3","37.3","42.8","43.2","48.7","55.9","65.6","65.5","64.3","67.5","72","75","83.2","98.7","105","100","111.6","117.8"
"Республика Ингушетия","2.6","2.6","2.3","2.9","3.5","4.3","7.3","8","7.1","6.7","6","5","9.8","10","13.5","11.1","11.3","14.8"
"Кабардино-Балкарская Республика","19.7","20.6","23.6","29.5","31","43.1","51.9","51.3","47.9","57.3","64","54","58.7","45.7","51.7","58.4","62.8","68.2"
"Карачаево-Черкесская Республика","13.9","18.2","20.9","23","21.9","27.6","57","60.2","64.8","61.4","56","60","76.2","81.1","76.8","75.4","75.8","81.9"
"Республика Северная Осетия - Алания","23.9","26.1","29.2","24.1","25","25.6","24.9","33","32","31.3","33","45","36.9","44.5","44.7","36.7","37.1","43.7"
"Чеченская Республика","","","23.3","30.8","28.1","39.7","41.5","50.3","43.1","43.7","43","41","44.4","68.3","70.1","90.2","105.6","155.9"
"Ставропольский край","181.8","215.1","311.1","380.5","394.6","456.7","552.7","606.5","668.7","731","774","868","848.9","905.8","848.3","876.8","1138.3","1251.5"
"Приволжский федеральный округ","4672.1","5782.7","7271.5","8452","7566.4","9176","11531","12558.7","13169.1","13955.2","14630","15432","16729.4","19162.7","20127.6","19228.2","24927.5","27272"
"Республика Башкортостан","638.2","777.1","961.3","1077.6","999.7","1304.8","1633.6","1822.3","1911.6","1979.4","2086","2155","2340.3","2844.6","3020.7","2789.3","3583.8","3762.7"
"Республика Марий Эл","39.8","49.6","66.6","74.4","70.3","85.7","105.9","119.7","122.9","156.5","182","174","163.9","205.6","205.6","192.6","236.9","260.6"
"Республика Мордовия","65.6","88.6","118.3","123","110.8","139.5","168.5","179.4","186.5","212","229","247","274.8","300.6","307.9","333.2","407.5","457.4"
"Республика Татарстан","752.4","911.2","1214.3","1494.8","1500.6","1796","2374.3","2615.2","2668.6","2871.4","3123","3420","3826.4","4379.5","4427.4","4289.9","6105.7","6987.6"
"Удмуртская Республика","223.3","280.3","338","374.4","320.5","377.2","500.8","562.3","565.2","566","572","630","656.1","780.3","810.6","656.4","887","1021"
"Чувашская Республика","85.4","111.4","160.3","214.8","175","201.1","194.4","213.2","217.5","222","212","236","247.8","272.3","318","300.9","371.5","402.7"
"Пермский край","572.6","659.3","798.4","1003.7","887.8","1060.7","1396.7","1497.2","1555.1","1629","1590","1556","1711","1952.3","2050.7","1890.6","2207.4","2526.8"
"Кировская область","114.9","147.5","165.3","185","162.6","188.9","217.8","237.7","248.9","266.6","256","238","247","261.6","290.7","308.5","401.1","446.5"
"Нижегородская область","746.8","963.1","1296.2","1418.2","1197.6","1462.3","1693.8","1780.3","1872.1","2032.8","2241","2520","2718","3070.4","3399.3","3409.5","3865.9","4244.4"
"Оренбургская область","291.2","400.6","453","505.2","452","540.4","674.4","740.4","846.3","779.4","799","757","829.1","1057.2","1088.9","951.2","1558.3","1607.9"
"Пензенская область","70.5","81.4","113.8","137.8","138.1","151.4","202.7","217.2","217.4","251.9","293","320","337.6","359.2","417.1","486.6","601.3","644.1"
"Самарская область","715.1","872","1033.1","1192.2","962.3","1221.4","1538.5","1678.6","1835.2","2008","2009","2100","2253.1","2522.7","2632.6","2489.3","3198.4","3288"
"Саратовская область","240.6","299.3","382.4","469","426.6","447.4","561.6","593.3","619.7","657.7","690","724","757.6","783.4","723.5","719","991.8","1090.5"
"Ульяновская область","115.9","141.2","170.5","181.9","162.5","199.2","268","302","302.1","322.5","349","354","366.6","373.5","434.5","411.3","510.8","531.9"
