"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Вологодская область","1290.4","1278.5","1266.9","1255.9","1245.8","1234.9","1225.8","1219.8","1214.2","1208.3","1201.2","1198.4","1196","1193","1190.5","1187.2","1183.3","1176","1166.9","1159.6","1150.1","1138.4","1128.8","1121.3"
"Калининградская область","957.5","955.4","954.1","947.9","942.1","936.6","934.3","935.3","936.6","938.6","941.8","947","955.3","964","970.1","977.8","987.9","996.5","1004.5","1015.3","1021.6","1031","1032.3","1033.9"
"Ленинградская область","1680.4","1672.7","1667.1","1673.3","1681.5","1685.4","1691.1","1692.5","1698.9","1704.9","1718.6","1742.6","1768.5","1789.5","1808.8","1821.4","1841.9","1871.4","1913.5","1950.9","1977.3","2006","2023.8","2035.8"
"Мурманская область","922.9","905.7","889.8","873.2","856.9","839.4","824","815.1","805.6","799.8","794.1","782.2","769.2","754.1","743.9","734.1","724.1","714.7","704","692.2","678.6","665.2","658.7","656.4"
"Новгородская область","710.3","700.9","692.1","682.9","674.5","665.6","657.6","652.2","645.4","639.7","632.8","629.2","624.9","621","616.9","613.6","610","603.7","597","592.8","588.3","581.6","575.9","571.4"
"Псковская область","781.8","769.7","758.1","746.8","734.5","720.8","708.2","699.6","690.3","681.9","671.3","665.4","658.3","651.8","644.7","638.6","632.8","625.8","617.5","612.5","605.1","596.9","587.8","581.1"
"г. Санкт-Петербург","4714.8","4688.4","4656.5","4662","4686.5","4712.9","4747.6","4764.8","4798.7","4832.8","4899.3","4974.8","5071.5","5195.7","5276.2","5331.2","5405.4","5494.8","5546.4","5580.8","5588.5","5607.9","5600","5597.8"
"Южный федеральный округ","14061.4","14008.6","13954.1","13905.9","13870.8","13837.1","13820.4","13826.9","13844.6","13853.7","13851.3","13902.7","13949","14022.9","16378.2","16495.7","16591.2","16643.3","16694.9","16748.4","16737.9","16718.2","16642.1","16624.1"
"Республика Адыгея","447.3","446.6","446.8","444.8","443.3","441","438.6","437.9","439.4","439.8","439.9","445","449.7","454.4","460","465.2","469.9","472.6","476.6","487.6","490.4","498.3","498","500.6"
"Республика Калмыкия","307.3","297.6","291.8","292.2","293.2","293.5","293","291.7","290.3","289.7","288.9","286.4","283.6","281.3","279.7","277.8","276.9","274.5","271.7","270.2","268.9","266.4","264.5","266.8"
