"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Мурманская область","1078.5","1331.6","1282.4","1193","1278.1","1440.7","1724.4","1969.9","2448.5","2532.4","2731.3","2947.6","3429.8","2734.8","2304","1920.8","1551.5","1675","1823","1736","1702","2118","2209"
"Новгородская область","3863.8","4691.9","5003.1","5331.7","5467.1","6034.8","6195.8","6475.7","8057.7","9024","13931.2","16481.7","16137.2","14809.6","18837.1","24987","27067.7","24725.4","25982","28627","25700","29309","32091"
"Псковская область","4822.4","5363.5","5306.9","5689.1","6968.2","7170.8","7280.2","7405.4","8881.5","9122.3","10336.3","11528.4","12220.1","13568.5","20301.7","24859.6","28663.2","31477.7","36929","42443","49386","55018","56386"
"Южный федеральный округ","97141.3","125184.6","132352.5","146153.4","191103.6","208111.2","238330.8","280583","373899.5","355023.4","395217.1","474231.8","486949.6","517870.2","642940.3","811567.9","899188.5","891718","903937","1013456","1113253","1386014","1513135"
"Республика Адыгея","2155.8","2495.7","2298.4","2376.5","3336.2","4227.7","4704.1","7851.5","9376.7","10475.1","11177.4","11828.7","13363.1","14080.5","15262","19534.1","19821.7","21599","21899","25290","31814","34237","33900"
"Республика Калмыкия","1289.4","1948.2","2188.2","2300.4","3931.9","4445.2","6310.9","8056.8","9545.6","10274.2","11171.7","14313.9","17486.1","19877.9","21479","22714.3","26735.7","27084.3","26559","27871","27693","27222","26863"
"Республика Крым","","","","","","","","","","","","","","","35585.7","50111.4","52880.1","47289.6","43841","55007","52444","73053","82378"
"Краснодарский край","46699.3","60106.4","63363.9","66824.6","88088","97106.2","111248.7","128007.5","166498.4","158684.9","184082.5","220628.6","213646.2","229951","266662.6","340566.9","370761.8","364025.8","382468","417201","432963","556249","602923"
"Астраханская область","2990.5","3584.2","4159.9","4736.2","5747.7","7892.8","9147","11261.4","14983.7","18103.6","19961.9","20185.4","23755.6","26657","29070.4","36287.3","37312.5","41051","43707","50410","55488","63063","64951"
"Волгоградская область","16476.6","22255.3","23733.4","28661.9","33063.5","32958.5","39369.9","51036.4","67488.5","62337.3","60161.4","72370.4","78663.7","83791","100672.7","121330","136630.6","133764.2","128275","149118","179018","220832","247284"
"Ростовская область","27529.7","34794.8","36608.6","41253.9","56936.5","61480.8","67550.2","74368.9","106006.6","95148.3","108662.2","134904.8","140034.9","143512.8","172459.2","219008.1","252776.8","254430.9","255129","285455","330795","408233","451122"
"г. Севастополь","","","","","","","","","","","","","","","1748.7","2015.8","2269.3","2474.3","2061","3104","3039","3125","3715"
"Северо-Кавказский федеральный округ","41867.3","54852.3","61823.4","73888.8","94709.4","104073.3","117093.9","144637.4","170547.7","171354.3","197873.4","237055.5","247460.5","283712.6","322987.7","384913.8","428066.5","436751.5","461495","492610","513041","658101","705948"
"Республика Дагестан","8171.3","12123.4","13897.6","18968","21631.8","25196.9","28163.6","32273.4","38751.5","43800.1","47409.7","55338.5","63149.8","71892.4","83390.9","94477.9","108472.7","118960.3","124371","133316","154909","166092","188328"
"Республика Ингушетия","813.5","1142","1334.2","1646.9","1860.8","1957.6","2156.6","2372.1","2960.8","2926.3","3230.7","4570.2","3883.7","4614.1","5421.3","6885.1","8518.3","9031.3","10392","10771","11633","15547","20147"
"Кабардино-Балкарская Республика","7749.6","9912.2","11084.5","12256.5","13695.3","13581.1","14555.7","16640.3","19176.1","20116.9","23588.3","27133.7","29617.8","31774.4","33326.2","37919.8","42423.5","45709.8","49385","54934","59242","67971","84382"
"Карачаево-Черкесская Республика","3017.1","3434.2","4421.7","4630","5257.4","6633.4","7971.4","9475.6","11563.7","13591.2","15040.5","17577.5","17768.3","19883.7","20844.9","26032.4","26801.5","27580.3","29513","32106","31698","39133","40714"
"Республика Северная Осетия - Алания","2728.5","3743.4","4466.3","5361.8","7000.9","7639.3","8373.5","9985.5","14427","14373.1","16910.5","19997.2","22188.7","24668.4","22831.9","23209.5","22164.9","22291.2","24198","31964","32203","37545","43081"
"Чеченская Республика","","","","","3767.6","4551.6","5277.3","6938.8","8559.7","10389.5","10893","12889","13564.7","14658.8","15156.2","17548.8","21122.7","25996.9","27778","32716","39886","45063","50861"
"Ставропольский край","19387.3","24497.2","26619","30767.9","41495.6","44513.4","50595.8","66951.7","75108.9","66157.2","80800.7","99549.4","97287.5","116220.8","142016.3","178840.3","198562.9","187181.7","195858","196803","183472","286749","278435"
