"region","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Республика Татарстан","785.7","413","282.9","251.7","414.3","580.2","563","413.7","574.8","768.2","3103.9","1136.9","1412.5","1646.34","2002.72"
"Удмуртская Республика","0","0","0","0","0","0","0","0","0","0","3.5","0","400","789","132.3"
"Чувашская Республика","17","38.7","29.8","96.6","179.2","2.9","0.9","0.5","11.2","330.7","342.8","349.1","408.7","530.75","1602.8"
"Пермский край","0","0","0","0","0","0","0","0","1.1","387.2","376.6","409.8","937.1","1795.2","2049.07"
"Кировская область","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Нижегородская область","0.4","0.2","0","0","0","0","507.2","482.8","407.1","179.6","238.3","310.6","514","1269.62","1625.26"
"Оренбургская область","0","0","0","0","0","0","0","98.1","222.7","479.7","476.7","443.7","1181.3","1631.78","1334.12"
"Пензенская область","21.6","0.6","0","0.6","0.9","0.9","3.7","0","0","0","0","0","0","15.68","4.9"
"Самарская область","501.8","505.7","442.6","461.8","1223.1","1201.6","665.5","1269.9","1336.2","1040.4","1026.7","649.4","1728.9","3138.62","3832.65"
"Саратовская область","0","0","0","0","5","3","0","0","0","0","65.3","1703.8","4024.2","4858.57","4796.5"
"Ульяновская область","0","0","0","0","0","0","0","0","0","0","1.3","2.1","2292.3","2627.43","2066.83"
"Уральский федеральный округ","83.4","28","166.4","173.7","212","405","614.4","868.6","1329.3","1266","1165","1061.1","4490.8","6280.58","7497.14"
"Курганская область","0","0","0","0","0","0","0","0","0","0","0","0","0","728.07","906.93"
"Свердловская область","6.4","15","164.7","173.7","204","401.3","535.7","618.8","952.4","880.6","912.5","309.6","3","1726.1","1826.14"
"Тюменская область","0","0","1.7","0","8","3.7","78.7","249.8","376.9","385.4","164.7","471.1","2784.5","2868.1","3861.49"
"Ханты-Мансийский авт. округ - Югра","0","0","0","0","0","0","6.3","18.1","9.3","0.3","1","356.7","569.2","522.62","114.22"
"Ямало-Ненецкий авт. округ","0","0","1.7","0","0","2.7","36.2","200.6","200","240.7","163.7","114.4","569.5","364.96","450"
