"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Республика Калмыкия","24220","28812","34613","40427","41465","58485","61232","98472","106663","114144","119600","113426","113022","124357","151392","175274","195857","203657","226959","333220","372535","351743","350542"
"Республика Крым","","","","","","","","","","","","","","","1233700","2033676","2055242","2212391","2241915","2839003","2758289","3797690","4126043"
"Краснодарский край","516894","576533","666157","780300","896631","1079840","1114617","1385585","1645865","1870428","2139060","2471453","2821779","3639608","4208926","4770758","5481558","5937791","6260527","13982416","13020366","13970321","14670743"
"Астраханская область","110982","158920","177818","215272","230042","275408","315059","367910","466376","529737","623538","747640","808160","850132","912745","1053750","1357230","1498692","1653054","2071002","2163641","2211405","2344974"
"Волгоградская область","227818","279884","360671","450274","471854","540678","621663","879288","1047580","1115884","1200283","1346669","1462441","1570668","1735392","1818202","2069566","2180917","2326149","2620585","2830578","4346720","4376762"
"Ростовская область","326991","400418","477972","600908","649308","746866","830392","1007353","1165933","1331221","1514042","1751414","1880446","2003572","2085372","2355619","2583782","2786870","3049823","6831010","7018721","7460101","7658598"
"г. Севастополь","","","","","","","","","","","","","","","9193","41435","274808","304437","338376","961010","963759","988508","1016967"
"Северо-Кавказский федеральный округ","538669","624186","735870","853445","902083","1053567","1139523","1573198","1824682","2058011","2317317","2637978","2933644","3272961","3601090","4032053","4515820","4816874","5220064","7170763","7645327","7850621","8178855"
"Республика Дагестан","176853","188752","228062","242053","256898","312331","339844","431688","525036","610455","702603","821966","877939","985711","1213120","1355843","1570561","1627996","1762966","1825758","2033594","1679049","1739507"
"Республика Ингушетия","5739","7313","9425","13783","17310","24538","25310","40475","38864","40638","45758","40918","49517","65741","73001","88438","101859","119375","138700","174926","192951","217247","262617"
"Кабардино-Балкарская Республика","51765","54237","68057","79410","80069","85088","90672","105499","120959","135976","158744","185443","202099","217265","223801","240069","253447","272146","305327","528349","536039","571048","605235"
"Карачаево-Черкесская Республика","33788","41419","42799","58170","60474","64592","68159","91481","101153","112083","116719","126319","142438","158477","166250","189172","198664","210594","226477","375261","424243","452803","467734"
"Республика Северная Осетия - Алания","46347","54197","65384","86484","91942","96529","98675","113037","119133","151730","171315","182119","187258","197435","204596","232170","247890","271077","280203","315379","361116","409405","441480"
"Чеченская Республика","","","","","","","","185769","189968","207814","231128","300776","330596","404275","413687","425937","468184","538579","600232","864942","870746","883885","976899"
"Ставропольский край","224177","278268","322143","373545","395390","470489","516863","605249","729569","799315","891050","980437","1143797","1244057","1306635","1500424","1675215","1777107","1906159","3086148","3226638","3637184","3685383"
"Приволжский федеральный округ","3570321","4254707","5137048","6046752","6438858","7462180","8456510","10204265","11863782","13202934","14792989","17166376","17906760","19684668","20928320","23031982","25329928","27117288","29013180","50204844","52049480","55731428","58928784"
"Республика Башкортостан","432691","511544","581436","672147","721830","868425","974675","1153973","1326927","1485177","1604725","1703359","1799031","2105770","2306755","2519215","2868186","3121321","3380216","6522045","6698420","7139522","7793707"
"Республика Марий Эл","102150","88632","88400","103379","112068","133723","141867","170447","193250","204323","225000","264186","286499","314647","330932","358656","404552","418477","470091","929979","933112","1068946","1005031"
"Республика Мордовия","82806","105478","127103","157478","158416","183836","204886","261867","335090","341899","353809","390900","406047","433918","477197","528791","599727","628911","667344","1068465","1117572","1178599","1212838"
"Республика Татарстан","503844","564012","681153","854943","929381","1090879","1236737","1586177","1802843","2132421","2526863","3461464","3110418","3342559","3431206","3921931","4256272","4658900","5033940","9066898","9232012","9783694","10285175"
"Удмуртская Республика","184560","220659","254768","278761","315521","368307","394881","484365","553399","592068","650857","753970","817042","870234","974795","1040617","1169614","1245800","1290551","2269461","2437509","2687080","2729567"
"Чувашская Республика","122892","162316","177315","225632","231338","253775","285864","372611","422064","456144","493286","561249","589437","654078","664956","715778","760719","790343","807297","1500573","1543572","1620434","1682411"
"Пермский край","350217","518656","594356","683649","724508","961938","1113976","1278827","1502190","1605119","1837184","2078245","2199176","2410614","2651647","2900859","3204554","3397061","3576306","5873286","6327648","6840513","7059602"
"Кировская область","157730","174541","221679","260069","278400","322973","354452","412082","455558","487604","541725","602726","639525","682835","659265","712522","785413","849714","908090","1514275","1533619","1668757","1714720"
"Нижегородская область","310779","359901","477952","560961","606193","688092","834981","1036892","1229632","1388587","1578659","1731930","1947537","2137855","2381528","2579755","2790966","2918512","3068010","5632296","5857122","6210952","7448895"
"Оренбургская область","246421","322727","391209","414641","405888","480330","553402","662706","808489","901995","1047515","1259018","1377934","1596988","1652428","1820589","2039846","2198450","2378246","3207320","3380834","3692404","3840021"
"Пензенская область","135183","148470","180559","228396","243758","262655","315061","377811","446113","533261","579673","613333","669188","719888","864334","970828","930071","986237","1092727","1903098","1952146","2151667","2193674"
"Самарская область","513679","584694","729525","886148","966882","1056262","1154449","1333971","1528511","1652795","1775376","2005380","2173528","2342741","2522834","2735586","3012202","3258454","3479558","6032634","6253035","6504724","6733193"
"Саратовская область","292971","330279","458337","520351","532388","556180","630917","764456","907459","991128","1108845","1215058","1319466","1456217","1402337","1551306","1779849","1869085","2007804","3428386","3498073","3816647","3798372"
"Ульяновская область","134398","162798","173256","200197","212287","234805","260362","308080","352257","430413","469472","525557","571931","616325","608107","675549","727958","776024","853001","1256128","1284806","1367490","1431577"
"Уральский федеральный округ","2495342","3844891","5069686","5812297","6267153","7935967","9209054","10955498","13269958","14526823","16840120","19435140","22295386","23584468","26776920","28902312","33650788","35953432","38726232","47508224","49847612","58997936","61460576"
"Курганская область","105205","103644","146404","177444","186289","213335","242086","325899","368000","416057","474482","521738","574249","617452","619830","650878","693563","725992","757646","919268","954823","1258785","1307296"
"Свердловская область","607927","713797","954194","1105279","1142985","1424665","1509597","1746705","2063335","2247358","2561776","3285624","3665843","3949207","4711894","5157421","6086869","6177853","6448390","7944607","8183181","11210093","11638890"
"Тюменская область","1350459","2575384","3416427","3780191","4125299","5405244","6462995","7581168","9357677","10315779","12115952","13758304","16041010","16856804","19036884","20471314","23947924","26000868","28282720","33065968","34899528","40258564","42179196"
"Ханты-Мансийский авт. округ - Югра","865096","1300411","1765170","1969088","2203663","2903606","3346899","4007371","4852290","5423503","6382571","6888515","7953296","8618035","9546182","10275523","11654167","12543037","13262283","15309437","15853191","17901332","18847828"
"Ямало-Ненецкий авт. округ","298875","847866","1276960","1411989","1561226","2088400","2491843","2797387","3742708","4002082","4699979","5687176","6737214","6693967","7827582","8387662","10219150","11279844","12640917","13937298","14666506","17675552","18488002"
"Тюменская область без авт. округов","","","","","","","","","762679","890194","1033402","1182613","1350500","1544803","1663120","1808129","2074608","2177986","2379520","3819232","4379832","4681682","4843367"
"Челябинская область","431751","452066","552661","749383","812580","892723","994376","1301726","1480946","1547629","1687909","1869475","2014284","2161005","2408313","2622699","2922430","3048722","3237476","5578384","5810079","6270492","6335195"
"Сибирский федеральный округ","2310955","2655055","3215231","3751440","3988065","4458879","5021477","6212843","7183950","8288137","9071296","10256100","11466528","12328640","13145544","14259887","15338111","16548844","16181083","24264590","26548034","30666202","31927978"
"Республика Алтай","15372","17028","17748","19576","20385","22026","26506","36386","40300","44595","49786","61628","68340","86493","99868","114087","127913","131791","142235","175992","188994","229499","240170"
"Республика Тыва","15831","16172","15984","18232","18680","19490","22158","27975","31718","36141","39154","47409","57136","64172","72925","82829","91880","99573","114199","209205","220857","234092","248416"
"Республика Хакасия","64529","73578","87598","107799","117068","120518","141252","186212","225192","230085","246369","292915","315069","341282","378082","404095","417845","438167","469018","884131","850248","913028","931154"
"Алтайский край","203441","228746","256888","320439","359417","382472","445470","545300","615342","670720","712242","757632","797922","870401","907409","931166","871625","935963","986820","1487427","1392252","2461442","2566939"
"Красноярский край","406756","472316","585508","693145","750452","823467","927280","1099859","1261951","1472018","1628414","1815754","2070838","2335977","2537118","2879635","3227379","3604524","3949492","4856289","6591186","7145601","7516093"
"Иркутская область","366685","423047","517510","576236","563456","651069","674969","826755","1056433","1472728","1641443","1975486","2171210","2077218","2029855","2206258","2528848","2774291","3033414","4097950","4294407","5132859","5221704"
"Кемеровская область","332002","363666","425676","486882","530233","629492","745812","924027","1058631","1152849","1259707","1406912","1635052","1900837","2106244","2250263","2404891","2545178","2738986","4113114","4266709","4531863","4783463"
"Новосибирская область","320944","346811","440046","511803","545077","595609","682585","820667","939236","1055081","1172183","1229181","1361156","1481011","1656477","1869453","1944305","2091267","2259167","4857348","4985873","5348230","5522920"
