"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Удмуртская Республика","32","33","29","22","19","19","22","23","23","23","22","30","31","33","32","35","34","33","31","30","29","33","31"
"Чувашская Республика","14","14","13","14","13","12","12","15","17","17","17","18","20","21","20","25","25","28","29","30","28","29","29"
"Пермский край","56","55","56","57","56","55","52","49","49","49","50","56","60","59","59","71","68","65","66","67","69","68","66"
"Кировская область","22","20","21","20","21","23","20","22","22","20","19","23","25","23","26","27","23","25","24","25","25","25","23"
"Нижегородская область","105","115","107","103","109","101","111","107","97","90","92","93","87","96","93","101","97","90","90","96","102","94","99"
"Оренбургская область","18","17","18","18","15","14","14","19","18","19","19","18","20","20","24","35","35","32","28","27","26","25","27"
"Пензенская область","28","27","24","22","24","24","25","26","23","23","23","26","24","23","23","29","28","27","26","30","30","29","26"
"Самарская область","60","59","56","52","54","51","52","63","59","57","53","62","61","62","62","76","71","64","60","62","57","55","60"
"Саратовская область","59","62","61","57","56","57","53","55","53","49","51","50","48","51","50","56","56","60","60","62","59","60","62"
"Ульяновская область","17","17","17","17","17","22","22","24","22","23","21","21","24","26","23","31","32","28","28","29","27","26","25"
"Уральский федеральный округ","255","255","260","253","234","226","225","233","220","211","207","244","236","229","239","274","258","247","248","255","262","254","274"
"Курганская область","19","18","18","17","15","15","13","14","14","12","11","14","14","12","13","15","16","14","11","10","11","11","12"
"Свердловская область","138","133","137","133","124","117","114","111","103","102","100","113","104","110","109","126","117","109","111","121","126","125","138"
"Тюменская область","58","62","62","59","52","54","56","56","54","50","50","59","58","55","63","68","63","62","62","62","58","55","59"
"Ханты-Мансийский авт. округ - Югра","13","14","13","16","15","17","11","11","10","9","9","13","14","14","20","20","20","19","18","17","18","16","18"
"Ямало-Ненецкий авт. округ","5","4","6","5","4","4","5","3","3","1","2","5","4","4","4","4","4","4","6","7","7","6","6"
"Тюменская область без авт. округов","40","44","43","38","33","33","40","42","41","40","39","41","40","37","39","44","39","39","38","38","33","33","35"
"Челябинская область","40","42","43","44","43","40","42","52","49","47","46","58","60","52","54","65","62","62","64","62","67","63","65"
"Сибирский федеральный округ","433","428","415","408","387","392","391","430","400","383","378","396","395","399","395","455","443","431","448","430","419","423","428"
"Республика Алтай","4","4","5","6","6","6","6","9","9","9","9","11","10","11","10","9","9","10","10","9","9","9","10"
"Республика Тыва","8","8","7","7","6","6","6","8","9","8","8","8","8","9","9","10","10","10","10","10","10","10","9"
"Республика Хакасия","3","3","3","3","2","3","3","7","6","6","7","6","6","6","7","6","6","7","9","9","9","8","8"
"Алтайский край","31","28","27","30","32","35","40","48","40","40","38","39","40","39","37","41","40","34","35","37","36","40","42"
"Красноярский край","64","71","63","59","55","60","59","61","54","52","54","53","52","52","52","72","73","69","78","70","71","70","71"
"Иркутская область","38","39","40","37","36","35","37","49","45","44","44","46","49","51","45","52","51","46","46","44","43","43","47"
"Кемеровская область","35","33","33","32","30","29","31","34","29","29","27","27","26","27","27","32","32","31","30","30","28","29","31"
"Новосибирская область","139","133","134","129","120","119","110","109","107","104","104","111","113","118","120","122","120","121","121","116","113","116","112"
"Омская область","54","52","48","47","45","43","43","41","41","40","39","38","38","38","41","46","43","40","43","42","41","39","40"
"Томская область","57","57","55","58","55","56","56","64","60","51","48","57","53","48","47","65","59","63","66","63","59","59","58"
"Дальневосточный федеральный округ","188","183","180","182","174","169","190","212","198","193","190","206","200","203","199","216","221","220","216","224","235","234","228"
"Республика Бурятия","18","17","17","18","18","17","16","16","14","13","13","15","15","16","15","20","22","22","19","28","27","27","25"
"Республика Саха (Якутия)","24","24","24","23","22","20","23","24","22","22","23","23","24","24","24","23","27","28","28","30","31","34","33"
"Забайкальский край","13","12","12","11","10","10","18","18","15","14","13","13","14","13","14","16","16","16","16","18","18","19","19"
"Камчатский край","16","15","12","16","15","15","15","15","15","15","15","15","15","15","15","17","17","16","17","17","16","16","15"
"Приморский край","45","45","44","44","43","42","52","53","49","48","47","52","49","48","47","51","48","47","43","43","48","45","47"
"Хабаровский край","34","34","34","34","32","31","29","45","43","41","40","41","41","41","38","43","44","45","44","39","46","44","41"
"Амурская область","16","14","14","13","13","12","14","15","15","15","15","16","16","18","17","17","17","17","18","17","15","16","15"
"Магаданская область","8","8","8","8","7","7","8","9","8","7","7","13","7","7","8","8","9","10","11","10","10","10","10"
"Сахалинская область","11","11","11","11","11","12","12","14","14","15","15","15","16","17","18","17","16","15","15","15","15","14","14"
"Еврейская авт. область","1","1","2","2","1","1","1","1","1","1","1","2","2","3","2","2","2","2","2","2","2","2","2"
"Чукотский авт. округ","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","3","2","3","5","7","7","7"
