"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Калининградская область","24212.5","24823.9","25091.2","28894.6","24576.9","26797.7","26073.3","28673.7","25101.6","26996.5","27325.3","30978.3","26201.2","28555.1","29034.9","32933.1","26381.9","29291.2","29681.8","33160.7","26621.2","31630.4","33187.6","36880","33140","35376","35433","49460","36731","38308","39520","58721","37922"
"Ленинградская область","27107.1","26713.6","28430.8","29593.3","26621.4","28819.2","29042","31674.1","27812.1","30472.3","30925.3","33439.4","27371.9","32123.6","32806.7","33685.9","28876","31473","32587.6","35461.4","29914.4","33142.6","37555.6","41205","34908","39605","39042","50327","41492","42245","43873","50893","42330"
"Мурманская область","37798.7","38317.7","38488.4","40078.9","40570.3","40212.2","41101.6","42033.2","41705.3","41953.1","43375.6","47718.1","43091.2","45399.3","46016.9","52793.2","45352.6","47913.3","48427.6","56885.1","48803.9","52956","55449.7","62630","60658","63243","67769","69866","66466","73079","73605","79598","67438"
"Новгородская область","21344.5","25959.8","24771.4","29145.4","23300.2","24262.5","24457.8","30921.9","22421","24393.9","24155.8","31447","23059.5","24955","25042.1","31954.7","23740.7","25796.7","25670.7","30809","23878.8","28118.2","29578.5","35820","27518","33003","34564","41055","31993","35573","36812","50575","35278"
"Псковская область","19704.3","22736.1","21925.2","24542.7","21425.1","23740.6","23974.3","24961.7","20971.1","23262.8","24522.5","27882.9","22198.3","26179.5","26736.8","28707.7","23842.7","26437.1","27231.1","30112.1","24191.1","29649.5","31414.2","34437","28474","33597","36090","40894","33345","36556","39067","45022","34262"
"г. Санкт-Петербург","34291.7","40912.9","36748.9","45140.3","35556.8","42618.6","37971.3","50429.9","37817.2","43298.8","41557.2","53706.6","39381.3","44470.2","44236.4","56478.3","41722","44997.3","43090.9","60980.4","43174","55921","56587","67422","58565","62819","66332","73680","65145","71787","72242","77749","65797"
"Южный федеральный округ","22389.7","25618.8","27189.8","29914.8","23142.1","25857","28224.7","31138.4","23614.4","26805.8","29744.9","33090.9","24319.5","28065.1","31966.3","34766.1","26362.9","25711.7","33265.6","36275.2","27894","31437","38169","40142","31820","37297","40882","50509","36407","41304","46396","55483","40984"
"Республика Адыгея","18569.2","24282.6","25823","28878","21712.1","24752.5","25738.1","29992.9","21757.7","26266.3","27595.5","30421.9","23554.2","27503.1","28842","32331.9","24770.7","25526","30103.8","34801.7","25968","30361","36247","40007","29261","34278","40697","42228","33889","37794","47408","51734","37928"
"Республика Калмыкия","12947.7","15798.9","15653.8","18485.2","14079.2","15253.5","15658.9","19990.7","14716.3","15387.1","15797.2","22311.3","15143.1","17269.9","18293.3","23370.3","17245","19106.8","20142.1","22890","18005","20012","22338","24913","19080","23575","24442","27637","23983","26074","26744","31988","25569"
"Республика Крым","15381.1","18197.3","17293","20317.1","17371.8","20691.6","19544.4","21256.2","17893.2","22247.1","22417.1","22794.2","18879","22458","23147.1","24026.7","19148.4","20448.4","25105.1","25931.6","19682","24446","30627","28971","22206","27770","31936","36912","26951","32245","35546","36376","27093"
"Краснодарский край","28369.7","30437.9","34598.7","37141","28696.3","30683.8","36055.3","36686.9","29245","31477.4","37580.8","39426.3","29412.4","33050.6","40938.3","40674.8","32080.2","29428.7","42006.3","42943.9","34929","38452","48415","47355","39780","46234","42029","66483","45223","49806","50460","72735","51587"
"Астраханская область","20302.1","23681.4","22759.1","25968.3","19633.2","23929.3","22548.1","26948.5","20727.7","24351.6","23523.1","28230.3","22216.7","25229.6","24935.7","29402.6","23647.7","24719.2","25036.3","29668.8","23487","26593.7","27130.4","32845","26550","30603","34519","40377","32562","34302","35187","43491","35900"
"Волгоградская область","17766.9","21332.1","21075.1","24676","18003.4","20661.6","21508.9","26931.2","18256.2","21629","21556.9","28589.7","18318.4","22177.9","24159.7","30482.8","20785.7","20285.1","25710.2","31482.6","22041","22976.8","28806.9","34630","25476","28628","39188","36804","28549","32522","35775","44576","31773"
"Ростовская область","22220.3","26617.3","27632.3","29650.3","23243.5","26183.9","28284.5","32553.6","23533.7","27240.3","30218.9","34467","25029.6","28969.3","31793.9","36780.9","26885.1","27096.8","33087.5","37821.2","27498","32391","37258.7","41423","31729","38178","47786","47267","35643","42505","56295","52274","41263"
"г. Севастополь","20365.7","24129.9","26465.6","30419","21232.4","25743.8","27586","31612.3","21874.6","25499.7","28518.2","29921.6","21086.9","26632.1","28248.5","32128.6","23759.8","24494.8","29756.3","32044.6","26402","28135.8","34880.5","38852","28276","29563","34371","51915","32120","35950","41919","48332","34890"
"Северо-Кавказский федеральный округ","18326.6","20182.8","22704.7","27369.1","19048.6","21035.6","23488.7","27771.5","19140.1","21135.9","23677.3","28191.6","19903","22519.4","24365.7","29824.9","21106.1","19890","24955.8","30856.1","21829","23154","27474","33057","24424","26952","30160","47985","27854","29666","31990","51148","31239"
"Республика Дагестан","18951.2","20968.1","27783.8","34846.4","19565.8","21806.7","28710.9","35558.1","19468.4","22252.7","28022.7","32896.8","21367.5","24528.5","27891.3","35340.4","22166.8","21735.6","28779.5","37317.7","23027","25266","31755","40177","26181","29281","26888","68613","28711","31946","29383","69098","32351"
"Республика Ингушетия","13553.6","14854.5","15348.9","20477","14229.7","14972.9","15633.4","19784.3","13448.3","16098.7","16199.8","20614","13663.8","16872.8","17488.5","20342","13856.1","16731.1","18237.8","20671.4","14985.5","17338.6","18966.4","23539.6","16196","19569","20231","36892","18205","21603","22411","36014","18623"
"Кабардино-Балкарская Республика","15666.2","18415.1","19923.1","23704.1","17231.3","19440.9","20224.8","23119.2","17043.1","18214.3","20871.7","24987.2","17752.8","19100.9","21068.7","25579.2","19664.5","16130.7","21913.6","27551.2","21585.6","21571.7","25862.9","31151.7","23238","27248","32064","56406","29354","31633","37222","56705","33159"
"Карачаево-Черкесская Республика","15531.6","17150.2","17222.1","20236.9","16016.6","17203.8","17444.7","20618.7","14346.8","17535","17732.4","22171.2","15523.5","18148.5","18762.3","22775.5","16607.7","16429.4","19198.3","23370.6","16926.6","17759.9","20685.5","25552.3","19010","20991","25348","26729","22185","23203","26639","30003","23417"
"Республика Северная Осетия - Алания","19854.6","21787.3","23398","23853.3","20121.1","22818.6","22049.6","25813.2","19143.3","23003.3","23387.2","27766.6","19695.8","24219.8","24798.7","29416.3","22165.6","22747.2","23140.8","27801.1","21962.1","23775.9","26555.5","31218.2","26039","29931","32589","34120","30532","32058","33354","42111","34191"
"Чеченская Республика","20982.5","23048","21638.2","26414","20113.9","22912.8","21955.9","25645","20117.3","22174.6","23669.7","27499.5","20964.4","22829","24324.1","29257.3","22256.8","20072.3","25645.9","31232.8","22240.7","23562.4","27813.7","32718.6","25228","25882","34871","37778","30850","27931","37775","47128","32812"
"Ставропольский край","18049","19469.1","20623.6","24191.8","19559.4","20969.4","22317.2","24916.3","20678","21294.8","22176.3","26831.2","20271","22508.4","23573.5","28324.5","21533.9","19379.6","23925.1","28382.5","22337.1","22867.7","25927.3","29368.1","24389","26422","32655","36702","26863","29371","32449","39887","31425"
"Приволжский федеральный округ","22976.7","25471.3","26012.3","27914.5","23418","25485.3","25511","29333.1","24086.8","25765.5","25884.5","30737.3","24893.6","27409.4","28044.4","32546.8","26125.8","26601","27748.8","33521.4","26435.6","29764","31463.6","36995.1","31228","35768","36553","44664","35413","39176","39574","50799","39572"
"Республика Башкортостан","24147.3","25797.2","30991.7","29241.5","25390.7","25820","29628.2","31548.2","24785.9","26467","29351.2","33438.2","26185.2","27059.6","30605.9","36374.9","26426.8","26311.3","28672.5","37656.1","27397.9","28834.4","31101.9","40335.8","30650","34642","37098","43212","35123","36369","38171","50103","40063"
"Республика Марий Эл","15700.3","18776.4","18583.4","22063.7","18066.7","18924","19274.1","20624.9","17813.9","19587.1","18771.7","22598.4","18298.2","20711.6","20067.9","23939.3","19749.6","19510","20412.7","24656","19866.7","22655.1","23170.8","26169.8","24693","26209","27561","30314","26873","28588","29536","33715","28756"
"Республика Мордовия","15541.1","17581.6","17908.4","19913.3","16505.3","18174.1","17704.1","19958.7","16782.8","18028.8","17759.3","20974.1","17688.3","19150.5","19433.3","21687.9","19117.6","19461.6","19937.2","22534.3","19804.9","21963.6","23166.9","25073.9","25776","26200","27180","29894","27164","28730","31600","34519","29540"
"Республика Татарстан","29688.2","33019.4","33493.2","33443.7","26041.9","31689.7","31390.5","38748.4","29881.6","31085.8","32218.9","39344.4","30620.3","34027.9","35626.7","39741.8","31810.2","31406.6","34775.4","41289.3","31875.2","35891.4","40066.9","46615.8","37148","45645","41690","59282","44314","50319","45492","68794","48694"
