"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Рязанская область","3953.5","6093","9314.4","11577.6","11816","14180.2","17728","22393.7","29154.9","31841.1","37191.6","41130.4","45333","46285.5","48149.6","50598.6","54276.7","59398.8","63931","71127.4","78388.9","92085.6","108577.7"
"Смоленская область","3822.6","5364","6908.4","7703.5","9475","11283.6","13620.5","17494.5","22203.3","24785.7","28446.6","33941.1","38924.5","36876.7","37526.4","38559.7","43320.2","45305.2","49591","53997.7","64383.4","71790.9","79290.5"
"Тамбовская область","3377.7","4932.5","6990.8","8594.1","9471.7","12699","15202.4","19860.6","25125.3","30799.2","32223.9","38511.7","42636.9","44030.5","47448.8","48751.6","51504.7","48854.6","52692.4","54575.5","64058.8","71152.2","80238.8"
"Тверская область","5451.4","7782.4","10111","11581.9","14629.2","18588.3","24273.4","32336.2","40021","45786.9","46721.8","50978.6","52665.3","57514.4","58677.2","62121.1","63935.5","67915.1","72754.8","80161.8","93811.5","108471.8","123753.2"
"Тульская область","6006.5","8483","12014","13542.2","16149.5","20735.1","23781.3","32770","42102","40517","48245","49722.8","56504.8","63424.6","75485.9","75423.2","79903.3","82921.9","92181.3","100697.6","112533.9","131264.6","143892.6"
"Ярославская область","6960","9352.9","13777.6","15370","17484.4","23107.4","26447.2","34708.7","42198","52085.9","51493.4","52906.5","59287.6","62768.8","66361.5","64758.4","65508.4","70416.4","78778.9","82011.4","96012.5","109227.2","120785.6"
"г. Москва","195851.5","233396.2","281855.4","338977.5","394086.4","523277.8","757936.7","957876","1291479.1","1010681.5","1127684.1","1481778.2","1494480.1","1486291.9","1552944.2","1673525.8","1861674.9","2107014.8","2386856","2641504.5","2880723.8","3349411.2","3671520.5"
"Республика Карелия","5483.8","6150.2","7767.2","8489.3","10478.7","13816.8","15601.9","18741.5","27036.9","25759.6","31850.9","35935.4","33150.9","30576.7","34117.7","34801.5","39323.6","41108.6","54378","58543.5","68182.7","80993.6","83915.6"
"Республика Коми","10345.1","12772.8","15146.8","16340","20436.6","24480.2","30067.4","34201.3","43924.6","45363.7","49551","58075.9","67085.4","62190.9","65768","67419.7","71849.9","82654.5","95970.2","99128.4","102417.1","118579.2","144856"
"Архангельская область","6617.8","9810.4","12541.9","15299","18209.6","22450.9","27462.1","39185.7","51489.3","49264.4","60969.3","62807.3","65786.8","73370.9","75439.9","78414.3","76277.9","83409.2","93151","107888.6","113301.4","134048","156710.4"
"Вологодская область","9536","10649.7","13040.8","16850.4","24855.7","26376.8","32671.2","39398.5","50823.5","40127.3","46174.5","50693.3","54573.9","53029.3","56405","58063.5","67218.9","72109.1","89451.4","105340.9","114790.7","159397.4","150161.2"
"Калининградская область","4418.4","5459.9","7782.2","9317.5","11236.6","15145.1","20745.9","27634.5","37177.4","42059.2","38550.9","48581.5","49445.9","47649.7","62733.5","59136.5","85509.3","111017","126339.7","131476.7","140106.3","141575.4","137720.5"
"Ленинградская область","9253.6","12491.3","16626.4","18095.3","22450.6","28147.4","37107","48567.2","63401.1","62356.7","71342.6","82312.4","89334.9","94886.7","122317.1","132512.6","136684.3","133890.6","168793.4","176311","193286.7","208061.4","239233.2"
"Мурманская область","6777.8","7567.4","11086.7","12421.6","16124.7","17217.5","29138.7","40636.1","47090.6","46315.2","52048.1","56599.9","53068.3","56178","57661.2","66556","72667","72725","81971.4","101783.9","108196.6","141990.2","128921.9"
"Новгородская область","3325.3","4067.6","4778.7","5949.1","7463.5","11132.9","12056.5","14851.4","21741.8","23657.9","23091.2","28148.6","34580.2","27924.8","28162.3","29934","33092.7","34967.6","37605.2","42453.2","48984.5","62645.3","70828.2"
"Псковская область","3232.6","4511","6439.1","7051.9","7808.1","9164.6","11104.3","14381.7","18093.1","19824.3","22504.6","27844.5","27062.8","27763.7","30090.7","26843","30178","31217.2","36306.6","41055","48614.8","55097","61367.6"
"г. Санкт-Петербург","37865.3","51815.3","66613.7","77237.2","95294","142718.5","218098.7","281266.2","343118.5","319796.5","351609.1","405626.5","379892.1","415494.2","433635.2","447420.2","485870.8","522151.7","589468","649005.9","679519.1","846022.7","1165311"
"Ненецкий авт. округ","2168.1","2733.3","2201.1","2977.6","4645.9","4737","7650.1","10097.3","9251.2","9463.7","11340.5","14186.7","15568.4","16276.5","19103","18470.6","14540.7","19958.5","23252.3","24500.5","23983.1","31124.3","35720.2"
"Республика Адыгея","1397.6","2214.6","3820.1","3979.8","3724.9","4698.7","5707.6","8048.6","10756.4","12278.2","12525.3","13398","15639.3","16461.1","16091.5","17004.7","18113.5","19056.2","23547.5","28276","35309.2","40473.7","44170.6"
"Республика Калмыкия","1220.3","1892.1","2642","4050.6","5335.1","3790.8","4580.3","6526.3","8475.8","9466.5","9236.7","9451.7","11961","10208.8","10712.4","11257.5","11637.1","12916.5","15185.4","18114","22721.5","23496.2","27575.6"
"Республика Крым","","","","","","","","","","","","","","","131407.6","95766.6","116745.6","160400.1","175509.5","192650.4","225018.5","218129.7","283709.8"
"Краснодарский край","17006.1","25159.7","40487.3","43510.7","52298.5","61558.4","81017.8","106475.7","140021.4","152407.3","168647.3","216446.8","244931.3","219373.2","232883","236840.6","263308.4","296894.3","316238.7","366573.1","387084.2","452626.8","524277.1"
"Астраханская область","3919.1","4783.7","6632.8","8171.8","9027.7","11792.4","15647.6","27613.4","34546.6","28601.7","27377.6","33177.7","35829.3","39749.7","39429.2","38627","38863.5","43789.3","55981.8","59107.9","64462.6","76267.7","91927.5"
"Волгоградская область","9564.3","12356.8","16070.4","19492.2","22490.8","29562.7","39882.9","55421.2","69575.1","69188.1","75590.8","78703.6","84489.9","81630.8","95548.1","100282.9","101485.8","107743.5","121078.3","131317.2","152467.8","165082.9","181019.9"
"Ростовская область","12523.8","20192.2","26675","30563.7","36073.2","47087.7","59596.1","81566.3","105678.8","112416.2","123192.9","134346.4","152526.7","155407.9","164185.8","170793.4","190895.1","192154.6","217310.1","221356.1","257191.5","299339.9","343082.6"
"г. Севастополь","","","","","","","","","","","","","","","27705.5","21244.8","21818.4","30991.1","39536.4","38440.8","59378.2","63672.2","72941"
"Республика Дагестан","8789.6","11587.9","15754.8","16878.3","19055.2","22579.9","27123.9","38782.4","52614.4","64437","62407.3","71409.1","79988.5","85965","89900.2","90589.9","98065.6","107278.3","119874.1","134786.2","181313","185899.9","210484.1"
