"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"г. Санкт-Петербург","6.41","7.022","7.381","6.299","6.403","6.7","7","7.7","7.6","5.2","6.3","7.5","7.6","7.1","6.7","6.1","6.1","6.5","6.3","5.6","5.5","5.3","6"
"Южный федеральный округ","65.619","62.781","64.48","67.565","73.69","80.5","81.6","86","86.5","69.3","101.6","109.1","111.1","102.7","91.7","86.5","86.8","98.6","99.3","94.4","86.4","92.8","88.8"
"Республика Адыгея","0.228","0.197","0.531","0.531","0.631","0.6","0.6","0.6","0.5","0.5","1.3","2.2","1.9","1.7","0.9","0.9","1","0.8","0.9","0.8","0.7","0.5","0.5"
"Республика Калмыкия","0.067","0.068","0.099","0.122","0.123","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0.1","0","0","0","0","0","0","0","0"
"Республика Крым","","","","","","","","","","","","","","","4","1.5","1.9","1.9","1.9","1.3","1.1","1.3","2.1"
"Краснодарский край","18.996","18.56","17.213","18.948","21.574","27.5","30.4","34.1","32.9","30.4","36.9","40","39","35.1","31.3","31.7","31.9","34.8","32.6","31.5","26.4","30.4","30.7"
"Астраханская область","9.554","8.222","10.262","10.98","11.687","10.3","9.5","9.5","8","5.9","24.8","25.9","27.1","26.1","18.7","16.8","16.9","17.3","18.2","18.7","18.6","20.3","20.4"
"Волгоградская область","13.943","14.157","14.957","16.328","18.282","20.3","18.7","16.8","17.6","16.4","16.1","16","17","15.7","16","17.1","16.7","18.5","15.7","14.5","15.5","15.1","15.2"
"Ростовская область","22.831","21.577","21.418","20.656","21.393","21.8","22.3","25","27.5","16.1","22.5","25","26.1","24.1","20.7","18.4","18.3","25.3","30.1","27.6","24.1","25.3","19.9"
"г. Севастополь","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0"
"Северо-Кавказский федеральный округ","13.326","14.361","15.877","15.931","18.01","20","21","22.8","21.2","17.4","16","17.4","16.9","15.8","14.5","13.6","12.8","12.8","12","11.6","11.3","11.3","11"
