"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Мурманская область","1538.7","2860.5","4622.5","6723.1","8370.5","10439","12628.7","17674.1","20886.5","24164.8","28185.1","34379.2","2442.2","4956.5","7311.2","9776.5","12234.6","15713","19169","23128.1","32051.7","35140.4","39274.6","45333","1999","4294.6","6397.9","9063.6","10925.8","13514.9","16169.4","19161.3","22417","28140.6","31747.9","37883.2","2321.1","5563.3","9238.3","12673.7","19648.6","24135.8","28191.7","33925.6","39068.4","45669.9","51183.6","60734.4","5539.6","8038.6","16935.4","24100.6","29446.5","33359.8","41401","47028.6","53205.9","59762.2","65777.5","77052.6","4425.3","8309.9","17865.8","26891.3","32439.5","47655.2","57761.6","71611.7","82135.8","91862.5","105113.6","116664.2","4160.1","10598.7","22532.8","28285.9","41892.4","55481.6","69488.6","78027.1","87967.5","107939.9","118519.6","139008.5","4158.1","8588.2","14013.2","19761.1","24313.4","31387.8","37786.7","47147.4","54775.2","61732.9","69928.9","92248.4","9067.4","14344.2","25857.3","30882.2","37132.8"
"Новгородская область","3008.7","6607.7","12502.2","15788.6","19688.6","25707.5","31666.7","37857.1","46853.2","54302.5","60275.1","58217.5","1628.4","3298.5","6033","7605.1","9484.2","13196.8","16831.5","21060.4","24789.6","29195","32167.5","37324","658.2","2156.5","3880.2","5530.8","8545.4","11578.3","13511.6","14922.7","17259.7","20000.2","23109.5","25952.1","419.3","1013.5","1654.8","3012.7","4203.4","4762.8","5518.6","5851.9","12063","12949.6","13456.5","15048.9","252.4","981.3","1539.9","2092.6","3764.9","5953.4","7387.5","10156.1","12319.2","14964.1","16663.2","18572.2","2863.3","3621.1","4801","6217.8","7329.8","9105.3","10734.5","12153.5","14527.3","16947.6","19446.5","22239.7","1654.8","2976.7","3943.6","4876.8","6425.7","9104","12269.2","13901.1","17890.5","22604.9","25434.8","33840.4","1174.8","2541.8","3988.1","6086.8","8872.5","12325.9","18659.9","22725.3","27632.8","31862.3","35958.6","44306.3","1715.9","3259.3","8137.7","11127.5","14097.3"
"Псковская область","446","914.9","1487.4","2158.2","2664.5","3848.6","4772.6","5919.1","7073.7","9334.3","11487.4","21101.3","939.2","2416","4219.5","5443.8","7957.3","10463.1","12346","14089.5","16304.9","18918.9","22727.2","25274.4","521.3","2218.6","3664.5","5525.2","7273.5","8715.2","12022","14125.2","15965.8","20930.9","23179.1","26727.9","504.6","2060.4","3494.6","4930","8358.1","11174","14489.5","16916.4","19308.6","21705.1","23601.9","28787.6","350.1","891.3","1761.2","3031.6","4211.3","5584.2","7233.1","12392.6","15154.7","17995.2","19686.6","24760.3","495.4","998.2","1919.8","3668.8","6726.5","8384.2","12185","14592.8","16435.2","17964.2","19891.4","24368.7","1247.8","2610.5","4149.4","5864.1","7231.9","9376.5","11916.4","15202.9","20728.7","24017","26186.5","31712.3","487.8","1046.3","2888.8","3631.4","5250.5","8438.8","12033.2","14872.1","19486.4","25788.7","29221","35299.3","615.6","1411.7","3517.3","4585.2","6946.8"
"г. Санкт-Петербург","18478.8","40620.1","71120","103810.3","133084.7","168478.4","206850.2","241042.2","289056.1","327406.5","364369.7","626076","27387.7","54299.7","90744.8","130531.4","167732.5","217536.3","262131.2","307530.5","357316.9","406906.9","451840.4","517477.2","28223.7","55064.9","91530","130578.5","174680.6","231573.7","286778.8","334123.8","388543","441061.7","497060","564787.6","29688.3","65990.5","92415.9","121261.5","154294.8","197867.7","242687.7","285527","325860.7","376510.1","418936.5","469271.5","29262.5","55615.5","93993.4","127811.9","159857.7","199780.1","237994.8","272791.7","310656.4","355028.8","389374.9","438926.5","26637.5","54456.6","81840.4","117249.2","152360.1","189499.3","228503.9","267309.4","314495","363116.9","412689.2","468449.8","28801.6","59112","94364.1","128554.7","164501.5","207781.3","247061.8","290193.4","337020.3","382221.4","430820.2","508530.3","31298.7","61010.8","105349.5","146624.1","188892.9","239222.7","287363","337011.5","391673.3","446565.5","497779.4","578331.4","23034","60771.5","103562.7","148506.8","198904.2"
"Южный федеральный округ","14176.3","34640.2","58296.4","90747.4","119495.4","153845.6","188606.2","234112.2","291053.9","338437.2","402417.1","563542.8","28472.1","58768.7","96120.1","139262","188542.8","256121.3","315017.2","381446.4","443559.2","507876.6","583555","688675.6","28366.1","67268.4","110054.2","174194.5","231729.7","305056.4","368739.9","424961.6","488208.2","565004","654686.5","757941.5","29279.5","56973.1","115322.2","177088","234450.2","295298.7","359346.2","416969.6","494217.8","577170.9","645329.6","734512.8","39328","82835.7","136072.3","195231.1","255730.6","322934.1","386933.4","448659.3","525425.4","600875.5","670006.3","762653.5","34484.8","73957.5","129522.3","183493.3","241965.1","316928.8","391416.6","453844","537516","621695.9","728024.2","850913.8","42479.3","82155.5","133992.8","195518.5","276324.1","365936.8","468359.7","557326.9","653279.6","753283.7","855077.9","1004332","50522","113564.2","190298.3","276672.4","360173.5","456326.7","551866.8","650833.3","756070.1","859192.7","958125.2","1119197.1","45241","96881","180807.7","294072.6","402492.5"
"Республика Адыгея","526.2","1148.4","1741","3315.7","4223.3","5138.4","5400.6","6025.1","6690.2","7713.1","9645","12868","431.8","757.7","1218.4","1617.5","2134.3","3243.3","4163.1","5576.4","7223.3","8827.3","9762.9","12704.4","740.2","1130.1","1462.3","2227.3","2824.3","4623.1","5971.5","8639.8","10317.7","12029.6","15684.4","19454","356","729.3","1965.3","3542.2","5739.6","7860.1","9874.3","12839.9","15293.8","17552","21353.6","25473.1","656","1122.7","2363.4","3689.7","5224","6915.6","8918.4","10982.2","13204.4","16083.1","19297.8","22669","642.1","1324.4","2533.8","4001.5","5403.3","6990.7","8664.9","10929.2","13390","15989.5","19004.7","22338.5","1267.6","2332.7","3508.3","5135.4","6614.8","8617.1","10800.7","13310.5","16207.5","21441.6","25660.7","30605.6","2264.3","3272.2","4676.9","6396.3","9958.7","13701","17837.8","20935.9","22719.5","28466.6","33909.2","39131.5","727.7","1883.3","3107.8","5506.3","7850.6"
"Республика Калмыкия","72.7","127.6","192.7","261.4","332.8","407.9","484.3","556.4","648.8","751","862.2","1320.8","21","80.6","174.6","267.3","446.9","811.2","1216.2","1682.9","2142.3","2556.9","2733.8","2945.5","36.2","76.4","222.2","384.6","923.6","1517.8","2083.6","2772.8","3752.6","4848.9","5523.2","6495.1","37.6","86.6","262.1","482","1134.4","1998.1","2501.5","3439.4","4703.4","6068.4","6946","7418.2","665","786","1150.6","1750.1","2245.9","2838.2","3500.3","4664.9","6042.5","6735.6","7447.8","8748.3","78","175.7","275","473.9","972.3","1528.3","2162.2","2492.3","2900.3","3460","4029.5","4713.3","139","251.4","458.7","727.6","1351.5","1982.7","2922.4","3589.6","4398.4","5635.4","6469.2","7928.8","289.3","682.7","815.7","1583.6","2446.3","4054.9","5506.4","6290.8","6444.7","6703.8","6907.3","7254.5","899.6","1048.9","1194.5","1350.5","1498.7"
"Республика Крым","53","170.3","337.8","622.5","1037.3","1536.1","1834.2","6456.4","11280.3","12054.8","13466.4","16019.6","510.6","1344.1","2040.8","3609.8","5718.4","8479.4","12001.7","15872.6","19477.1","23119.4","37164.1","51085.8","1034.3","11978.4","19070.4","36700.1","48426.3","61581.9","75502.7","78690.6","82880.1","104183.5","134859.2","151953.8","5349.6","6588.2","27331.9","38440.2","50813.2","64528.8","76295.2","89464.4","101748.8","115002.3","126588","138846.6","10800.3","20737.9","32189.9","43375.6","53784.6","66614.3","78861.9","90038.7","106526.6","119534.4","130948.6","142865.9","4952","11415.6","21425.4","29559.9","36008","43851.5","50704","55716.6","65468.1","77058.6","86940.1","102472.7","5046.1","11317.5","16872.7","25541.1","40539.7","55097.2","68156.4","79982.7","94035.3","102944","108814.6","138706.8","3723.9","17936.3","28179.4","36174.4","44112.7","51700.6","59617.6","78253.2","95426.2","104730.2","117967.4","153106.6","2657.1","6450","13545.7","24823.9","37759.2"
"Краснодарский край","6852.8","18872.2","31400.8","48972.4","62822.5","79340.3","95354.3","114148.4","143335.8","163022.6","188554.9","252093.4","14984.1","31917.7","53333.8","75861.5","99381.2","133070.8","155851.5","183203.2","207560.5","233322.8","264820.8","308669.3","16734.8","33262.6","52289.3","77347.3","100725.2","132239","160090.3","185753.8","213021.8","241913","271041.1","311056.1","12123.3","28519.3","50458.2","78917.2","100003.6","121691.9","147873","168681.8","193201.7","218242.1","245324.7","280753.7","16198","37247.4","60420.3","84667.9","108697.8","133439.5","157126.4","179099.2","206526.1","237442.4","262997.7","293715.7","15816.9","32320.7","51277.8","71594.6","97712.5","130101.8","158724.9","184984.2","217776.5","253714","286251.1","325673.7","16380.7","32358.7","54962.9","77281.7","105108.7","137182.9","179995.7","208414.8","241111.1","278773.7","322638.5","377375.1","19314.3","39086.3","62083.7","95382.4","126026.3","166263.4","210726.5","244778.1","278553.3","319138.1","359813.6","414633.8","22264.1","49008.7","84330.6","132494.7","178070.4"
"Астраханская область","680.8","1417.2","2439.7","4392.6","5803.1","7261.8","9379.3","11572.3","13040","14057.2","15794","26473.6","605.9","1567.3","3274.4","4884.2","6208.1","8765.2","13404.2","16885.7","23204.9","27995.3","30305.2","39579.2","2285","3109.7","5046.5","8121.5","10077.1","13551.4","16615.2","19359.3","22979","25705.8","28606.8","40964","909.5","2666.6","5410.1","7822.1","10597.5","13440.2","17460","21019.1","26743.4","31217.5","35096.8","40399.5","2451.2","3973.4","6295.2","8466.7","13033.9","17305.3","20529.8","23395.6","26373.6","29604.6","34617.2","41350","801","1759.1","3697.3","6787.8","8461.1","12113.3","18311.9","21098.4","23451.3","27392.8","51354.5","60128.9","1540.6","3347.2","5408.2","7088.3","10252.9","12044.2","17909","19961","24410.8","28615.7","31047.1","41305.5","1965.9","4150","6426.6","9268.7","10848","13064","15087","17004.9","19790.4","21798.6","23818.6","30699.1","5673.1","6533.8","14651.4","16253.2","18148.6"
