"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Кировская область","15.4","22.1","24","18.6","15.129","22.195","24.4","18.7","14.8","21.541","24.213","18.635","14.72","22.56","26.421","19.476","15.212","20.978","23.771","17.857","15.377","24.641","26.46","20.574","15.754","28.269","30.528","19.187","16.699","25.024","24.058","18.126","14.899"
"Нижегородская область","45.8","54.3","56","50.8","43.062","51.801","54.313","48","40.6","50.48","57.753","48.385","46.054","53.184","57.415","50.725","41.403","46.028","54.751","52.525","45.219","60.767","64.561","54.634","48.973","67.361","72.938","61.094","51.646","70.475","74.808","54.992","51.479"
"Оренбургская область","28.4","31.2","34.2","31.1","23.135","30.804","34.303","26.8","21.3","27.86","33.384","32.103","22.062","27.027","35.943","27.327","20.696","22.287","25.589","26.075","23.041","30.487","32.865","25.377","22.475","27.728","33.001","27.726","23.587","31.579","32.812","27.262","23.911"
"Пензенская область","12.9","17.2","16.7","15.6","13.149","15.911","15.498","15.8","12","15.531","16.617","15.332","12.046","15.74","18.124","14.367","11.822","12.897","15.36","13.902","12.928","16.243","17.191","14.321","12.948","16.512","17.788","14.443","13.829","19.243","17.871","14.316","12.118"
"Самарская область","53.6","61.7","60.7","55.7","49.079","55.098","58.645","49.3","43.8","56.29","61.855","55.93","44.466","52.458","63.623","53.627","43.668","46.53","53.897","49.169","43.898","57.503","61.279","50.911","44.913","55.204","66.304","58.075","49.814","59.751","63.824","52.725","49.116"
"Саратовская область","29.8","42","44.3","37.5","31.348","40.62","41.826","35.2","32.7","37.976","42.386","34.176","29.381","40.923","44.074","35.66","29.076","31.443","34.944","33.943","29.308","40.804","44.543","35.804","29.232","40.848","44.207","35.542","30.334","41.537","44.939","35.391","28.223"
"Ульяновская область","14.6","17.9","19","18.2","14.236","17.657","18.617","16.6","14.7","16.783","18.815","17.693","12.549","16.688","19.893","14.67","12.873","14.415","17.168","15.775","13.551","20.418","19.827","15.843","14.825","20.081","25.04","19.634","15.49","19.702","20.387","16.079","15.048"
"Уральский федеральный округ","204.1","240.2","270.5","233.9","197.269","234.934","264.548","238.5","197.9","234.866","281.166","239.854","203.593","245.218","285.588","247.643","197.503","198.808","252.297","229.659","208.996","261.357","295.154","249.724","209.437","267.798","312.199","247.677","217.119","285.332","307.687","247.114","229.325"
"Курганская область","12.5","12.6","14","12.7","10.908","14.859","13.803","12.1","9.6","13.465","14.251","11.944","9.231","13.793","14.348","12.182","10.023","12.036","12.96","11.734","10.071","12.999","14.712","12.595","10.38","14.365","16.708","13.007","10.309","15.167","15.335","11.584","10.733"
"Свердловская область","61.5","73.3","85.2","67.2","58.072","72.1","80.984","67.9","57.4","72.334","86.311","69.678","61.408","76.021","88.413","71.915","61.431","62.579","81.243","67.641","64.558","84.504","95.034","74.268","64.211","87.982","102.408","76.945","71.172","95.318","100.679","74.567","70.142"
