"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Республика Дагестан","20921.1","31544","41441","57626.7","80712.4","90442.6","124153.5","156928.8","216277.2","257832.7","274354.2","330322.8","374710.3","452882.2","528131.3","569297.3","617587.6","639513.3","676060.8","713723.6","740798.8","814427.4"
"Республика Ингушетия","2618.5","3604.3","3582.1","4756.6","6210.4","7419.3","9033.5","16812.4","19172.9","18953.3","19929.1","26858.9","37413.9","45766.7","51908.2","50091","58141.5","60855.8","67468.2","73791.6","70857.4","77237.1"
"Кабардино-Балкарская Республика","14081.3","19443.3","22774.5","25997.4","29052.9","36833.4","43309.7","48908.7","58093.4","65660.1","77086.4","90594.5","106711.2","110971.5","116886","120528.8","152970.8","155221.8","161577.5","171544.7","180077.5","199326.3"
"Карачаево-Черкесская Республика","5461.5","7324.8","10234.5","11481.1","13127.2","16724.3","23260.1","27469.7","35714.2","38584.1","43651.5","49252.1","58712.1","66106.6","65326.6","67482.7","78521.1","82765.6","85737.9","91430","95297.1","109390"
"Республика Северная Осетия - Алания","8363.2","12665.3","15997.5","18925.2","24268","31182.2","43341.2","52804.8","57707.4","64081.4","75327.4","85876.7","97448.8","118637.5","125960.5","126051.2","148810.1","152526.4","161092.7","173459.4","179159","202601.8"
"Чеченская Республика","","","","","","22898.9","32344.4","48056.1","66273.8","64308.3","70694.9","86623","102289.1","122402.8","148942.1","154401.4","201634.8","215975.9","223853.7","241643.4","251873.2","268068.5"
"Ставропольский край","53732.4","67860.4","80534.5","101382.6","122235.4","146569.3","181675.1","222239.6","274992","277251","330790.8","396791.6","431753.4","480905.3","540796.8","621198.3","712594.5","735609.5","784045.7","829223.9","846890.1","1024560.2"
"Приволжский федеральный округ","1036789","1292756.5","1483309.6","1807987","2284895.8","2799036","3513341.5","4330427.5","5324051","4922531.5","5709470","7050735.5","7864342","8474685","9185550","10068677","11078328","11822591","13330797","14103744","13655382","16878414"
"Республика Башкортостан","145125","166974.8","187842.2","242920.5","310845.1","381646.5","505205.8","590054.1","743133.4","647911.7","759203.3","941023.6","1149384.6","1163219","1260010.4","1316598.2","1421517.6","1487892.2","1739362.9","1803321.8","1694189.8","2000037.9"
"Республика Марий Эл","11207.6","15087.8","17815.3","22987.3","30085.6","33350.7","43663.7","55069.2","65765.3","69271.5","82374.4","97323.3","117201.1","125950.2","143396.1","171689.5","170890.5","178193.2","192690.3","203282.1","197948.7","221991"
"Республика Мордовия","17553.4","22089.5","27508","33244","38334.9","44267","57974.2","77048.8","94058.3","90862.4","105343.8","119955.2","134315.6","148705.7","173872.7","180352.3","223297.8","236090.8","245675.6","262760.6","266387","298023.1"
"Республика Татарстан","186154.4","213740","250596","305086.1","391116","482759.2","605911.5","757401.4","926056.7","885064","1001622.8","1305947","1437001","1551472.1","1661413.8","1867258.8","2058139.9","2264655.8","2622774","2808753.2","2631286.8","3454700"
