"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Вологодская область","8593","10332.7","13923.4","18270.8","43109.1","60635","66101.4","79210.9","78448","55794","68569","114958","151023","75421","79732","87114","114155.4","138282","153427.9","199288.4","207940.1","206986.8","167750.2"
"Калининградская область","4571","5742.8","7740.5","13699.4","19745.7","29959","32595.6","46191.6","70811","60463","55877","63171","71757","68702","63716","69015","89462.3","130397.8","159880.4","101407.8","110636.5","102299.6","140535.9"
"Ленинградская область","19241","32273.4","28212.3","49703.7","68561.2","82859","127209.4","126296.3","166112","190860","278864","305699","330721","253619","170502","225915","264212.8","337673.8","511164.2","420872.2","405306.6","431976","545687.9"
"Мурманская область","7190","10677.6","9976.4","13182","14805.2","20017","24459.8","26911.9","46844","41722","38611","55970","72449","70579","85845","100418","85494.6","113269.3","155744.2","170855.5","204412.5","261433.5","256090.6"
"Новгородская область","4767","7955.6","5008.5","8976.2","8794.9","13996","18954","23918.7","33934","35617","39454","38031","45000","53063","61369","69336","78742.1","70831.6","61529.7","49827.8","50039.1","47029.3","57236.4"
"Псковская область","2446","2790.5","3135.3","5613.6","5904.9","5547","7603.3","13678.8","16472","12717","16695","24882","33664","28953","29808","27363","27271.8","29266.9","31297.1","33623.2","38418.1","47610.4","39594.1"
"г. Санкт-Петербург","35891","53168.6","76045.6","111677.9","117762.2","156854","193683.5","303448.4","372637","334074","401537","360368","352116","475149","523331","483423","678642.2","672365.2","852922.9","744094.8","765493.4","896715.8","997478"
"Южный федеральный округ","108941","130498.5","142905.2","162521.3","202691","245104","324542.6","496910.8","704183","709382","907962","1079284","1254958","1506034","1383658","1296200","1152832.2","1443288.4","1455803.2","1378094.2","1447345.4","1512268.6","1805887.5"
"Республика Адыгея","1264","1509.8","1916.2","2558.6","2268.2","3603","4087.7","10973.1","13275","15874","14036","18703","16904","18622","17155","15756","19133.7","20844.7","30600.1","43352.6","40435.5","35878.1","46517.9"
"Республика Калмыкия","6628","4781.6","4635.9","2406","2268.2","3062","3750.6","6151.2","7950","8106","6970","9779","13825","15283","22609","16605","9138.9","11222.9","12422.7","15850.5","38269.1","17841.6","14253"
"Республика Крым","","","","","","","","","","","","","","","26447","47582","74795.3","196193","296423.1","223793.2","196500.7","164060.3","214091.8"
"Краснодарский край","54734","63394.6","74654.6","78040.9","96437.9","113917","152079.6","229713.6","332532","377013","589623","711720","798476","955208","750236","586903","435095.3","503243","515316.8","477635.3","518216.8","558589.6","690704.7"
"Астраханская область","12438","15615.9","13301.5","17986.3","19744.6","21642","29383.2","49969.6","68273","61953","59863","69024","81665","122618","116856","113169","117999.3","146660","110279.5","104280.2","115116.1","115484","86115.6"
"Волгоградская область","11516","16320.1","19348","22153.9","29848.3","42735","39612.9","64953.7","88440","75591","78431","104080","136154","140680","182798","200191","183642.1","191709.7","183096.5","186267.5","182930.1","186115.9","216475.9"
"Ростовская область","22361","28876.4","29049","39375.5","52124.2","60145","95628.6","135149.5","193713","170845","159038","165978","207935","253623","264173","309436","294480.7","323903.2","264870.6","284152.3","328055.2","393753.2","465500.9"
"г. Севастополь","","","","","","","","","","","","","","","3385","6558","18547","49511.8","42794","42762.5","27821.8","40545.9","72227.8"
"Северо-Кавказский федеральный округ","25964","37100","42816.9","49662","61647.3","93317","128950.2","199887.6","260241","267085","313412","347504","402809","445906","494286","475857","486002.2","496091.5","544556.8","629674","705596.5","732911.4","878239.6"
"Республика Дагестан","3479","8088.8","7957.1","10793.9","16652.7","26966","39584.2","60712.7","86938","102189","120653","137114","152733","179065","202245","197572","199555.7","187346.6","200007.5","229489.3","273438.1","257188.3","314200.6"
"Республика Ингушетия","952","1548.1","699.6","849.1","1015.2","3431","3369.7","7677.9","3951","6523","7452","6100","14777","19155","16199","19759","20631.8","21197.7","22359","24158.3","20353.8","21571.7","22920.2"
"Кабардино-Балкарская Республика","2404","3496.6","4659.2","5497.7","5509.3","5830","6443","12787.5","15889","17514","20958","20855","25652","22071","22148","28328","36235.4","34827.1","35471.7","42287.1","49060.3","48578.8","57825.1"
"Карачаево-Черкесская Республика","637","1748.8","2200.1","2493.5","3054.3","6242","7987.9","9082.1","11001","10145","9140","13610","18076","21554","22184","19648","20554.8","21032.3","22686.3","23828","22732.3","32340.8","34011.2"
"Республика Северная Осетия - Алания","1656","2265.6","2891.9","3600.8","3883","5959","6912.4","14644.4","17032","13927","16204","19927","21851","28808","31001","25457","25533.1","27238.7","31434.7","33887.2","31172.1","35785.5","43318.2"
"Чеченская Республика","971","3330.6","4859.9","4252.1","6851.5","13184","22615.5","41317.9","50380","41508","50369","51632","54400","44623","57448","58844","60542.7","64387.2","74367.8","79776.6","76462.8","83282.3","119515.3"
"Ставропольский край","15865","16621.6","19549.1","22174.8","24681.4","31706","42037.6","53665.1","75051","75279","88635","98265","115318","130632","143061","126250","122948.8","140061.9","158229.9","196247.5","232377.1","254163.8","286449"
"Приволжский федеральный округ","206781","267844.6","294507.4","350622.4","464094.5","609499","783640.4","1148396.9","1485341","1279154","1437472","1702521","2012877","2301298","2384349","2463346","2438081","2428836","2491205","2718576.8","2828826.5","3118403.2","3735712.5"
"Республика Башкортостан","35497","47038.7","47027.9","54777.5","67420.9","84471","107751.1","160345.4","203657","148142","153625","188506","233683","266396","283545","317764","355109.2","278591.6","267929.1","337710.8","380766.2","422571.6","512388.1"
"Республика Марий Эл","1706","1944.7","2938.3","4360.3","5885.5","7722","10691.8","17204","21408","16576","22304","26861","31656","46178","47228","40332","27265.5","24029.2","27321","27500.5","35784.1","38255.6","42428.8"
"Республика Мордовия","3066","5299.2","7456.3","8811.3","10097.9","15123","19597","27414.2","39254","31968","40778","48673","49825","53714","47485","52751","52629.2","58535.2","52309.5","53072.6","47033.1","50775.5","59418.9"
"Республика Татарстан","44716","56384.9","56709.3","70301.6","99552.2","139361","160605.8","214557.9","273098","277573","328944","393569","470751","525730","542781","617128","636494.1","637611.7","629731","640837.1","615593.4","689232.4","888648.8"
