"Астраханская область","3143.6","3164.1","3164","3166.9","3169","3173.7","3256.1","3256","3256","3256","3256","3256.1","3256.1","3256.1"
"Волгоградская область","8760.7","8761.4","8761.4","8761.4","8761.3","8761.4","8761.4","8761.3","8761.2","8761.1","8761","8761.2","8761.2","8761.2"
"Ростовская область","8534.6","8513.6","8512.4","8512.7","8514.5","8512.8","8512.7","8512.6","8513.1","8510.8","8510.1","8509.6","8509.1","8508.8"
"г. Севастополь","","","","","","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2","26.2"
"Северо-Кавказский федеральный округ","12111.5","12098","12098.7","12096.1","12095.9","12094.8","12094.3","12094","12094.2","12092.9","12092.6","12116","12083.2","12066.9"
"Республика Дагестан","3349.6","3348.9","3348.9","3348.9","3348.9","3348.6","3348.3","3348.2","3348.2","3348.2","3348.2","3348.2","3348.2","3348.2"
"Республика Ингушетия","222.1","222.1","222.1","222","222","222","222","222","222","222","222","222","198.7","198.7"
"Кабардино-Балкарская Республика","696","695","696.9","696.5","696","696.1","695.9","696.2","696.4","695.8","695.7","695.8","695.8","695.9"
"Карачаево-Черкесская Республика","669.5","664.4","664.2","664.2","664.3","664.1","664.1","664","663.9","663.8","663.7","664.7","664.6","664.5"
"Республика Северная Осетия - Алания","401.4","400.8","400.8","400.8","400.8","400.8","400.8","400.8","400.8","400.8","400.8","400.8","400.7","400.7"
"Чеченская Республика","985","979.5","978.9","976.8","976.7","975.8","975.8","975.4","975.4","974.7","974.6","996.8","987.6","971.3"
"Ставропольский край","5787.9","5787.3","5786.9","5786.9","5787.2","5787.4","5787.4","5787.4","5787.5","5787.6","5787.6","5787.7","5787.6","5787.6"
"Приволжский федеральный округ","55203.8","55095.4","55083.2","55080.3","55077.1","55078.2","55067.8","55057","55043.9","55037.7","55031.5","55024.4","55017.2","54991.8"
"Республика Башкортостан","7339.8","7338","7336.3","7334.7","7333.9","7332.7","7331.6","7331.1","7326.9","7325.9","7324.7","7323.6","7323","7322.2"
"Республика Марий Эл","781.4","775","774.9","774.9","774.7","774.7","774.3","774.3","772.8","772.8","772.9","772.9","772.9","772.9"
"Республика Мордовия","1658.9","1657.6","1657.3","1656.7","1656.2","1655.8","1655.8","1655.6","1655.6","1655.6","1655.6","1655.6","1655.6","1655.4"
"Республика Татарстан","4561.9","4537.1","4534.7","4538.4","4538","4546.1","4540.7","4541.3","4539.4","4538.1","4536.1","4534.1","4532.3","4530.8"
"Удмуртская Республика","1863.6","1845.3","1844.9","1844.7","1844.4","1842.4","1841.9","1841.1","1840.8","1840.1","1839.8","1838.9","1838.7","1838.3"
"Чувашская Республика","1036.4","1035.8","1034.9","1035","1035.4","1035.3","1035.2","1035","1034.5","1034.4","1034.4","1034.3","1035.3","1034.7"
"Пермский край","2851","2843.1","2842.9","2841.5","2840.5","2840","2839.9","2839.2","2839.2","2839.1","2839","2839","2836.3","2819.9"
"Кировская область","3313.7","3320.4","3320.5","3320.5","3320.5","3320.5","3320.5","3320.5","3320.4","3320.4","3320.4","3320.4","3320.5","3320.5"
"Нижегородская область","3122.5","3113.3","3112.5","3112.1","3112.1","3111.7","3111.3","3111.3","3110.7","3110.3","3110.3","3110.2","3109.7","3109.2"
"Оренбургская область","10839.6","10821.3","10820.2","10818.8","10818.5","10818.1","10817.3","10817.1","10815.8","10814.8","10813.3","","10810.4","10807"
"Пензенская область","3046.4","3042.5","3042","3041.7","3041.3","3040.8","3040.6","3040.2","3039","3037.9","3037.5","3037.2","3037.4","3036.7"
"Самарская область","4011.2","4001.7","3999","3999.5","3999.5","3998.9","3998.2","3997.9","3997.8","3997.4","3997.3","3997.1","3996.1","3996.1"
"Саратовская область","8564.9","8555.8","8554.6","8554.3","8554.2","8553.5","8552.8","8544.7","8543.7","8542.9","8542.4","8541.6","8541.1","8540.2"
"Ульяновская область","2212.5","2208.5","2208.5","2207.5","2207.9","2207.7","2207.7","2207.7","2207.3","2208","2207.8","2207.9","2207.9","2207.9"
"Уральский федеральный округ","16440.7","16398.5","16377.1","16370.8","16361.1","16352.6","16371","16368.1","16366.7","16359.7","16356.5","16352.6","16348.9","16344.2"
"Курганская область","4459.1","4458.4","4458.4","4458.4","4458.4","4458.3","4458.3","4458.2","4458.1","4458.1","4458.1","4458.1","4458.1","4458.1"
"Свердловская область","2616.6","2608.5","2591.4","2586.6","2580.8","2580.6","2578.5","2578.4","2577.7","2571.9","2570.9","2568.7","2568","2567.9"
"Тюменская область","4244.3","4221","4220.2","4219.7","4219.6","4214.2","4236.7","4236.3","4235.7","4235.1","4233.2","4233","4231.4","4228.2"
"Ханты-Мансийский авт. округ - Югра","652.7","636.7","636.1","635.9","635.9","630.6","630.4","630.4","630.1","630.1","630.1","630.1","630.1","630.2"
"Ямало-Ненецкий авт. округ","200.7","200.8","200.8","200.8","200.8","200.8","223.7","223.7","223.7","223.7","223.7","223.7","223.7","223.7"
"Тюменская область без авт. округов","3390.9","3383.5","3383.3","3383","3382.9","3382.8","3382.6","3382.2","3381.9","3381.3","3379.4","3379.2","3377.6","3374.3"
"Челябинская область","5120.7","5110.6","5107.1","5106.1","5102.3","5099.5","5097.5","5095.2","5095.2","5094.6","5094.3","5092.8","5091.4","5090"
"Сибирский федеральный округ","46034.3","45983.3","45917.3","45904.6","45895.1","45883.9","45878","45872.1","45866.1","45857.7","45852","45847.9","45838.5","45824.3"
"Республика Алтай","1793.8","1791.4","1791.5","1791.5","1791.3","1791.3","1791.3","1791.1","1791.1","1791","1791","1790.9","1790.9","1790.9"
"Республика Тыва","3896.8","3899.3","3837.8","3837.1","3834","3833.7","3833.3","3833.3","3833.2","3833.1","3833","3833","3832.9","3824.5"
"Республика Хакасия","1920.2","1919.6","1919.4","1919.3","1918.7","1917.9","1917.9","1916.2","1915.2","1913.1","1912.4","1912.2","1911.9","1911.7"
"Алтайский край","11025.5","11008.3","11007.8","11007.3","11007","11007","11006.8","11006.6","11006.4","11004.9","11004.2","11003.9","10997.7","10995.5"
"Красноярский край","5455.5","5423.7","5422.8","5418.7","5417.9","5411.5","5411","5410.4","5409.8","5409.7","5409.4","5409.1","5408.8","5408.3"
"Иркутская область","2797.5","2800.4","2801.1","2799.9","2799.5","2799.5","2799.5","2798.9","2798.7","2798.6","2798.6","2798.6","2798.6","2798.6"
"Кемеровская область","2649.4","2646.3","2643","2637.3","2634","2630.8","2626.6","2624","2620.4","2616","2612.4","2609.7","2606.6","2604"
"Новосибирская область","8403.5","8401.6","8401.5","8401.4","8400.9","8400.1","8399.8","8399.8","8399.6","8399.5","8399.2","8398.7","8398.6","8398.3"
"Омская область","6720.9","6721.5","6721.3","6721","6720.7","6721","6720.7","6720.7","6720.7","6720.8","6720.8","6720.8","6720.8","6720.8"
"Томская область","1371.2","1371.2","1371.1","1371.1","1371.1","1371.1","1371.1","1371.1","1371","1371","1371","1371","1371.7","1371.7"
"Дальневосточный федеральный округ","18825.4","18812.1","18809.3","18808.7","18806.9","18806.5","18806.7","18805.1","18805.5","18804.9","18804.8","18808.5","18808.5","18807.6"
"Республика Бурятия","3149.4","3149.5","3149.4","3149.2","3148.1","3147.6","3147.1","3145.9","3145.8","3145.1","3145.1","3145.1","3145.1","3145.1"
"Республика Саха (Якутия)","1639.2","1638.6","1637.7","1640.5","1640.1","1640.2","1640.2","1640.2","1640.2","1640.2","1640.2","1640.2","1640.2","1640.2"
"Забайкальский край","7652.7","7650.6","7648.9","7646.4","7645.6","7645.6","7645.6","7645.6","7645.6","7645.6","7645.6","7645.6","7645.6","7645.1"
"Камчатский край","476.4","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6","475.6"
"Приморский край","1651.5","1648.6","1648.4","1648.5","1648.5","1648.5","1649.2","1648.8","1649.4","1649.6","1649.4","1649.4","1649.4","1648.9"
"Хабаровский край","671.5","665.7","665.7","665.1","665.5","665.5","665.5","665.7","665.6","665.6","665.6","665.6","665.6","665.6"
"Амурская область","2733.8","2733.7","2733.7","2733.7","2733.7","2733.7","2733.7","2733.6","2733.6","2733.5","2733.5","2733.5","2733.5","2733.5"
"Магаданская область","122.3","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.5","121.4"
"Сахалинская область","182.9","182.6","182.7","182.5","182.5","182.5","182.5","182.4","182.4","182.4","182.4","186.1","186.1","186.3"
"Еврейская авт. область","537.1","537.2","537.2","537.2","537.2","537.2","537.2","537.2","537.2","537.2","537.3","537.3","537.3","537.3"
"Чукотский авт. округ","8.6","8.5","8.5","8.5","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6","8.6"
