"region","2016, январь","2016, февраль","2016, март","2016, апрель","2016, май","2016, июнь","2016, июль","2016, август","2016, сентябрь","2016, октябрь","2016, ноябрь","2016, декабрь","2017, январь","2017, февраль","2017, март","2017, апрель","2017, май","2017, июнь","2017, июль","2017, август","2017, сентябрь","2017, октябрь","2017, ноябрь","2017, декабрь","2018, январь","2018, февраль","2018, март","2018, апрель","2018, май","2018, июнь","2018, июль","2018, август","2018, сентябрь","2018, октябрь","2018, ноябрь","2018, декабрь","2019, январь","2019, февраль","2019, март","2019, апрель","2019, май","2019, июнь","2019, июль","2019, август","2019, сентябрь","2019, октябрь","2019, ноябрь","2019, декабрь","2020, январь","2020, февраль","2020, март","2020, апрель","2020, май","2020, июнь","2020, июль","2020, август","2020, сентябрь","2020, октябрь","2020, ноябрь","2020, декабрь","2021, январь","2021, февраль","2021, март","2021, апрель","2021, май","2021, июнь","2021, июль","2021, август","2021, сентябрь","2021, октябрь","2021, ноябрь","2021, декабрь","2022, январь","2022, февраль","2022, март","2022, апрель","2022, май","2022, июнь","2022, июль","2022, август","2022, сентябрь","2022, октябрь","2022, ноябрь","2022, декабрь","2023, январь","2023, февраль","2023, март","2023, апрель","2023, май","2023, июнь","2023, июль","2023, август","2023, сентябрь","2023, октябрь","2023, ноябрь","2023, декабрь","2024, январь","2024, февраль","2024, март","2024, апрель","2024, май"
"Ростовская область","62560","124125.7","189915.5","256396","324158.7","393997.3","466374.1","541967.3","615507.6","690324.4","764153","853290.2","63999.1","127162.6","194939.4","262791.8","332894.6","405721.7","480725.3","558465.3","634897.6","711789.7","788322.8","880421.6","66376.7","132148.4","203145.5","273907.7","346470.9","421531.5","499848.2","582025","662228.6","743168.6","824025","920765.6","70115.2","139622.4","215851.7","291141.8","368545.8","448305.1","531515.4","618096.1","703396.4","788852.2","874648.5","975600.2","74142.2","148724.9","231727.3","283493.3","340243.8","419786.6","506349.5","598556.6","687350.6","777742.5","868093.4","975602.4","81686.7","162546.9","251007.5","339124.6","429287.7","521411.7","620649.9","727489.5","832115.7","936591.8","1039766.1","1157939.3","93553.5","186704.1","294255.3","394496.8","496934.8","601297.7","712037.2","829297.6","946453.6","1063185","1179492.1","1308618.1","104089.5","213381.6","330882.1","447211.9","564658.5","684028.5","810986.9","945029","1079720.6","1216655","1351136.9","1506048.5","136153.2","285446.2","430669.6","572260","715051.3"
"г. Севастополь","3695","7840.4","12695.5","17975.7","23414.1","29128.4","35306.8","41530.8","47007.5","51700.4","56314.8","61506.5","4824.6","9220.8","13545.2","18526.9","23893.4","29636.9","35335.6","41302.9","47046.8","52361.4","57653.6","63290.1","4880.9","9358.6","13789.4","18837.8","24306.8","30176.5","36135.1","42462.3","48581.5","54170","59721.8","65663.4","5253.3","9877.7","14668.1","19965.3","25735.7","31871.1","38238.7","44973","51445.3","57295.4","63001.5","69038.6","5412.3","10090.4","14950.7","18761.8","23608.8","28821.4","35307.8","42266.4","49003.4","55158","61271.6","67802.4","6502.2","12941.1","19586.3","27085.7","35416.6","44387.2","53476.8","62938.8","72085","80301.9","88208.6","96897","7346","14610.5","22820.1","30826.3","38837.8","47207.9","56329.1","65402.7","73879.6","81593.3","89441.7","97531.1","7662.2","15284.7","23416.7","31605.4","40027.2","48844","58159.4","67766.1","77252.1","85773.4","94055.2","103301.2","8396.6","16605.6","25063.9","33512.5","42117.7"
"Северо-Кавказский федеральный округ","101096.3","203305","309068.8","414992","523446.3","633139.3","722334.6","886987.2","1020025.7","1154023.2","1292183.7","1473318.3","104354.7","210966.8","323048.4","436862.8","552233","671074.6","794435","937206.9","1082207.9","1228996.9","1369940.6","1551260.3","106136.4","212843.8","327672.7","443010","561937.2","683130.4","800077.7","946186.1","1092065.6","1231974.9","1372976.2","1548699.7","112752.4","224176.1","343109.1","465220.2","590749.3","718609.4","846639.6","992879.3","1136100.3","1283742.6","1433512.4","1625973.4","117784.3","233615.2","362397.4","443539.1","533938.5","645571.4","773708.7","924252.2","1074406.8","1233166.2","1399455.7","1605509.6","128022.9","253744","389063.6","525533.8","663241.8","803626.6","949148.6","1113255.8","1278476.8","1454347.1","1636719.4","1868756.5","146716.1","293786.6","456659.1","616328.3","778083.8","941175.5","1109576.6","1294271.1","1478532.8","1674101.7","1873287.8","2125455","160022.2","319875.9","490222.9","666815.5","846703.9","1031756.9","1222119.8","1439434.8","1649136.7","1879603.9","2112194.9","2405896.5","188926.6","380127.2","581404.3","787801","1001028.1"
"Республика Дагестан","33601.3","67786.9","105156.9","142972","180869.4","220619.7","237399.6","327339","385641.6","444802.9","505817","594637","35060.4","71103.3","109989.7","150167.5","190727.5","232996.5","278390","341512.1","407131.2","474328.3","535443.6","620839.2","33728","68425.6","107139","146579","188338","230833","265055.6","325240.4","385751.4","439405.9","493521.2","565425","36124","71434","110173","151114.6","194729","239520","281950","339118","393743","451120","509335","593299.4","38091.3","74528","117840.9","143255.4","174150.2","213008.4","255155.7","314075.3","370875.2","432904.9","499661.4","587964.2","42392.6","82748.9","126862.3","171214.6","215867.5","261738","308386.8","368072.2","426522.7","491363.4","561385.8","657564.5","48275.3","96835.8","152587.1","210116.9","267864.9","325948.3","384844.4","453155.2","519887.6","593529.3","668629.7","772055.3","53247.7","106112.6","161838.6","220971.2","280445.2","341220.8","403991.7","483744.1","552166.1","633118","715117.5","827203","62677.9","125616.4","188081.4","252254.1","320666.8"
"Республика Ингушетия","1725.6","3606.7","5329.9","7058.6","8888.9","10622.7","12524.4","14444.7","16259.8","18055.2","19980.6","21908.3","1770.9","3689.8","5481.3","7243.4","9105.6","10907.3","12820.4","14938.2","16730.8","18579.7","20727.2","22500.8","1989.7","4017.9","5976.9","7983.2","10050.5","12093.5","14282.3","16496.1","18588.8","20688.4","22806.5","25141.9","2097.4","4194.5","6301.1","8414.3","10627.4","12837.4","15009.4","17218.4","19362.7","21532.3","23718.8","25966.3","2040.6","4053.5","6097.2","8134","10281.2","12462.4","14636.3","16875.3","19185.8","21401.7","23669.2","25930.4","2341.7","4696.1","7093.8","9621.1","12170.7","14762.1","17346.4","19874.1","22466.1","25065.2","27632.7","30240.5","2886.5","5787.5","8817.1","11806","14995.8","19128.7","21254.2","24445","27576.1","30700.4","33804.4","36925.9","3593.8","7451.9","11558.8","15821.1","20138.3","25498.9","28670.6","32786.7","36812.4","40663.4","44571.3","48597.5","3961.8","8156.7","12681.4","17303.6","21821"
"Кабардино-Балкарская Республика","8435.6","16769","25398","34210.4","43115.4","52460.2","62360.6","72700.7","83096.7","93734.8","104770.4","118274.7","8845.3","17536","26621.7","35784.3","45200.2","55114.5","65755.9","76676.4","87662.5","98763.2","110122.2","123965.1","9038.9","17902.9","27091.1","36357.6","45870","55912.4","66708.3","78073.4","89479.9","101108.9","112997.9","127518.3","9619.7","19052.3","28884.1","38698.4","48917.8","59494.8","70759","82626.8","94667.8","106918.1","119438.3","134586.7","9973.4","19772.4","30485.9","37471.1","44996.5","53179.1","63325.4","76114.7","89144.2","102285","116354.8","134203.9","12964.9","25758.2","39624.7","53372.7","67350.5","81478.2","96309.7","112894.5","129826.7","147388.3","165257.4","188981","14729.6","29195.7","45403.4","63646.3","82221.7","100992.9","120933.6","143125.1","165765.6","189282.4","213303.7","245044.1","17173.6","34192.5","52051.6","71865.1","92222.3","114264","137644","163712.3","190464.6","218129.7","246272.7","283269.1","19737.2","39621.7","60592.6","83158.9","106453.1"
"Карачаево-Черкесская Республика","2777","5461","8296","11115.4","13977.8","16891.9","19921.4","23156.6","26154.2","29203.3","32192.2","35702.4","2883.7","5662.7","8521.1","11376.8","14341.1","17341.7","20430.1","23702.7","26814.2","29952.8","33050.5","37075.6","2987.9","5840.3","8796.5","11764.9","14791.8","17875.4","21035.5","24356.9","27620.8","30906.8","34189.1","38364.5","3139.7","6209.9","9419.2","12592.3","15800.4","19038.9","22353.7","25844.5","29246.5","32648.6","36047.1","40318.4","3219.6","6387.6","9736.1","11911.5","14158.1","16639.2","19935","23516.6","27028","30625.3","34302.2","38871.7","3408.2","6732.5","10134.9","13442.1","16813.5","20213.2","23816.4","27610","31464.4","35407.1","39270.3","44185.7","3973.5","7873.7","11839.1","15505.2","19226.9","22959.5","26779.1","30684.3","34555.2","38583","42427","47188.3","4286.8","8480.7","12744.7","16920.1","21049.7","25243.3","29556.8","34102.9","38663.2","43295.5","47869.5","53085.3","4606.2","8918.9","13421.3","18123.7","23281.7"
"Республика Северная Осетия - Алания","8085.1","16137.1","24454.4","32798.7","41177.3","49597.3","58203","66937.2","75767","84575.2","93623.9","105349.1","8381.4","16681.9","25303.6","33937.9","42619.1","51490.1","60477.1","69713.1","79167.2","88463.2","97808.4","109722.5","8503.6","16978.2","25831.7","34783.2","43610","52743.4","62218.4","72017.1","82033.1","92056.2","102181.7","114696.7","8953.3","17839.1","27126.9","36533.2","45984.5","55542.1","65356.5","75357.1","85578.1","95996.3","106443.7","119194.8","9159.1","18113.4","27884.8","34350.6","41323.1","48756.4","57673.8","67564.2","77682","88404.9","99765.8","113604.7","9509.8","18847.6","28902.9","38975.8","49131.4","59402.5","70407.5","81742.2","93421.5","105512.2","118160.1","133488","10994.4","21781.5","34223.2","46129.2","58149.3","70176.9","82547.6","95230.6","107912","120689.8","133623.2","149190","11918","23465.3","35810.6","48190.1","61167.8","74345.5","88115","102522.2","117351.2","132828.8","148447","167264.3","13460.8","27014.2","41188","56058","71353.8"
"Чеченская Республика","11528.1","23614","36436.1","49612.7","62916.2","75322.3","87792.5","100209.8","112936.1","125822","139041.2","152437.5","12375","24905.7","37280.7","50926.1","64489.2","78070.5","91614.8","104799.2","118034","131369.5","144763.5","158382.6","12506","24983.4","37579.2","50480.8","63444.9","77215.4","91695.3","106530.4","121454.2","136638.1","151898.9","167530.5","13025.5","26061.1","39120.2","52577.5","66183.8","79998.3","94340","109627.3","125773.1","142396.8","159253.8","176225.3","13595.1","27248.5","40925.8","50707.3","60507.8","71909.4","88303","105172.9","123191.1","142812.2","163496.6","184489.8","14705","29554.7","44516.6","59591","74915.9","90442.7","107768","125831.6","145434.5","166797.1","189259.1","212966.4","17876.3","35925.3","54083.5","72410.2","91016.6","109885","131062.9","153084.4","177058.2","203270","230962.1","260197.6","18521.5","37696.6","58207.7","78903.9","99420.4","119982.1","141152.1","163720.9","189026.8","217685.9","248649.1","283895.5","20210.5","40618.1","62661.4","87358.4","112297.7"
"Ставропольский край","34943.6","69930.3","103997.5","137224.2","172501.3","207625.2","244133.1","282199.2","320170.3","357829.8","396758.4","445009.3","35038","71387.4","109850.3","147426.8","185750.3","225154","264946.7","305865.2","346668","387540.2","428025.2","478774.5","37382.3","74695.5","115258.3","155061.3","195832","236457.3","279082.3","323471.8","367137.4","411170.6","455380.9","510022.8","39792.8","79385.2","122084.6","165289.9","208506.4","252177.9","296871","343087.2","387729.1","433130.5","479275.7","536382.6","41705.2","83511.8","129426.7","157709.2","188521.6","229616.5","274679.5","320933.2","367300.5","414732.2","462205.7","520444.9","42700.7","85406","131928.4","179316.5","226992.3","275589.9","325113.8","377231.2","429340.9","482813.8","535754","601330.5","47980.5","96387.1","149705.7","196714.5","244608.6","292084.2","342154.8","394546.5","445778.1","498046.8","550537.7","614853.8","51280.8","102476.3","158010.9","214144","272260.2","331202.3","392989.6","458845.7","524652.4","593882.6","661267.8","742581.8","64272.2","130181.2","202778.2","273544.3","345154"
"Приволжский федеральный округ","378934","749343.5","1135895","1521612.3","1919826.6","2325595.9","2754809.1","3192262.6","3623780.8","4059815.9","4489072.3","4977617.1","395512.9","778321.6","1183975.3","1586247.1","2003859.5","2433090.9","2883134.6","3336387.9","3789525","4248853.3","4704551.1","5219930.2","415193","815306.3","1243864.5","1666988.1","2105625.6","2560957","3034242.4","3518198.7","3997469.8","4487653.6","4981839.2","5540392.1","444330.7","874462.3","1336400.8","1791020.6","2259590.4","2735966.2","3229098.3","3732287.4","4231540.2","4742157.3","5258949.8","5839683.1","461453.6","919085.4","1425074.5","1792178.5","2201824.3","2662008.7","3160354.8","3667661.4","4163026.7","4681252.4","5197670.7","5786086","483303.6","952996.5","1465516.2","1987819.5","2523876.7","3069137.8","3630469.4","4203703","4766008.8","5334779.2","5913066","6596485.1","555889.1","1104712.9","1733701.5","2319358.5","2919061.5","3511005.1","4124973.8","4749477.8","5347969.4","5961773.6","6588840.5","7309092.5","604361.5","1198175.5","1834725","2474224.8","3142091.7","3816975","4521102.2","5245730.5","5958158.1","6690188.7","7428311.6","8287864.6","703222.8","1410352.4","2170564.3","2920535.4","3693795.4"
"Республика Башкортостан","58377.3","111864.3","160895.1","211268","264143.6","322758.6","396063.2","472693.7","553706.2","634715.2","716178.1","803226.1","61853.7","117862.8","174118.5","228419.4","285481.2","345258.6","420371.9","498549.2","580458.7","665265.8","750664.6","841128.4","64253.5","122724.3","181461.6","238600.5","298382.7","361261.5","434208.6","513249.5","599825.9","690802.1","782379.3","879483.7","69658.3","133300.9","197305.8","259784","324997","392652","467191.1","547364.7","635248.4","730866.8","828132.9","931528.9","72642.4","139110.9","210687.3","256697.5","311206.2","378967.4","451500","530007.2","616535.6","710917.4","807633.6","912651.3","77035.2","146462.2","221339.3","298335","376425.9","455433.1","535192.2","620926","707231.6","792296.8","895800.9","1015846.5","86636.2","167637.5","264509.1","362001.2","459080.6","538415.8","621737.2","710677.7","795602.5","885609.3","991630.5","1118044.1","94240.6","184848.9","276265.4","367983.8","471603","575958.3","678569.3","786087.2","891695.9","997800.2","1122653.3","1278431","119804.3","229416.9","339715.4","451341.7","566427"
"Республика Марий Эл","5826.3","11538.9","17602.4","23720.6","30214.5","36843","43627.5","50448.2","57008.7","63700.1","70634.5","78497.6","6056.2","12044.8","18425.2","24801.9","31509.1","38432.1","45559.8","52711.8","59832.8","66822.7","73943","81990.7","6545.9","13008.1","20048.4","26970.9","34122.9","41404.1","48879.1","56328.9","63455.5","70706.5","78120.7","86591.6","6955.5","13825.8","21275.2","28574.2","36294.8","43919.6","51638","59435.4","66963.6","74550.5","82134.1","90761.7","7304.4","14789","23035.2","28380","34440.8","41101","48622.7","56564.3","64584.3","72968","81335","91237.3","7893.6","15826.3","24436.8","33103.8","42127","51276.6","60667.9","70175","79276.3","88658.3","97818.8","108490.4","8816","17644.9","27593.4","36736","46291.4","56006.1","66183.8","76322.5","85957.5","95843.3","105726.7","117081","10088.8","20038.1","30781","41460.7","52412.7","63585.2","75400.6","87121.6","98511.5","110009.2","121450.4","134603.8","11303.3","23040.3","35926.6","48552.2","62087.4"
