region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Калининградская область,-1.21,-1.163,-1.122,-1.088,-0.985,-0.905,-0.794,-0.582,-0.399,-0.449,-0.313,-0.078,0.049,0.104,0.302,0.488,0.838,0.992,1.234,1.378,1.525,2.179
Ленинградская область,-1.251,-1.205,-1.161,-1.1,-0.995,-0.905,-0.767,-0.665,-0.494,-0.385,-0.246,-0.035,0.174,0.189,0.246,0.584,0.825,0.938,1.274,1.449,1.484,2.045
Мурманская область,-1.028,-1.019,-0.977,-0.93,-0.759,-0.728,-0.63,-0.501,-0.416,-0.46,-0.34,-0.222,-0.145,-0.057,0.027,0.31,0.563,0.611,0.772,1.14,1.843,2.946
Новгородская область,-1.342,-1.276,-1.236,-1.168,-1.055,-0.906,-0.793,-0.674,-0.384,-0.358,-0.259,0.006,0.18,0.264,0.574,0.826,1.02,1.051,1.083,1.231,1.291,1.925
Псковская область,-1.31,-1.26,-1.188,-1.104,-1.007,-0.933,-0.764,-0.608,-0.427,-0.406,-0.214,-0.006,0.103,0.213,0.355,0.531,0.902,1.005,1.235,1.481,1.56,1.842
г. Санкт-Петербург,-1.012,-0.984,-0.947,-0.915,-0.857,-0.802,-0.733,-0.604,-0.467,-0.448,-0.35,-0.178,-0.096,-0.003,0.071,0.389,0.701,0.781,1.001,1.176,1.24,3.039
Южный федеральный округ,-1.177,-1.137,-1.099,-1.059,-0.997,-0.927,-0.82,-0.662,-0.487,-0.489,-0.348,-0.166,0.002,0.163,0.399,0.601,0.937,1.095,1.296,1.417,1.488,1.97
Республика Адыгея,-1.139,-1.116,-1.091,-1.052,-0.998,-0.907,-0.824,-0.663,-0.521,-0.413,-0.298,-0.104,0.068,0.18,0.276,0.451,0.79,0.964,1.171,1.396,1.634,2.196
Республика Калмыкия,-1.02,-1.004,-0.987,-1.01,-0.949,-0.913,-0.816,-0.682,-0.573,-0.476,-0.462,-0.311,-0.109,0.052,0.222,0.384,0.924,1.248,1.431,1.519,1.674,1.857
Краснодарский край,-1.215,-1.172,-1.132,-1.101,-1.034,-0.973,-0.859,-0.69,-0.529,-0.47,-0.298,-0.076,0.145,0.354,0.48,0.633,0.966,1.136,1.216,1.295,1.388,1.936
Астраханская область,-1.052,-1.032,-0.989,-0.942,-0.912,-0.846,-0.773,-0.698,-0.467,-0.531,-0.48,-0.344,-0.163,0.152,0.262,0.389,0.616,0.979,1.648,1.759,1.394,2.03
Волгоградская область,-1.37,-1.312,-1.247,-1.172,-1.094,-0.945,-0.796,-0.553,-0.294,-0.413,-0.243,-0.014,0.178,0.288,0.617,0.693,0.953,1.028,1.265,1.373,1.417,1.642
Ростовская область,-1.231,-1.181,-1.144,-1.092,-1.009,-0.938,-0.808,-0.623,-0.411,-0.445,-0.27,-0.091,0.039,0.164,0.316,0.621,0.934,1.047,1.226,1.374,1.506,2.015
Северо-Кавказский федеральный округ,-1.241,-1.197,-1.158,-1.104,-1.038,-0.947,-0.821,-0.683,-0.498,-0.428,-0.302,-0.094,0.076,0.301,0.516,0.673,0.985,1.071,1.211,1.372,1.456,1.85
Республика Дагестан,-1.248,-1.209,-1.172,-1.111,-1.025,-0.989,-0.863,-0.74,-0.518,-0.363,-0.301,-0.092,0.074,0.366,0.647,0.801,0.981,1.063,1.2,1.341,1.442,1.717
Республика Ингушетия,-1.158,-1.121,-1.122,-1.077,-1.022,-0.977,-0.916,-0.622,-0.533,-0.541,-0.505,-0.243,0.156,0.471,0.703,0.634,0.938,1.04,1.29,1.529,1.418,1.659
Кабардино-Балкарская Республика,-1.301,-1.21,-1.154,-1.1,-1.048,-0.917,-0.808,-0.714,-0.559,-0.431,-0.239,-0.011,0.26,0.332,0.432,0.493,1.04,1.078,1.185,1.353,1.497,1.821
Карачаево-Черкесская Республика,-1.344,-1.287,-1.198,-1.16,-1.109,-0.998,-0.798,-0.668,-0.415,-0.327,-0.171,0.001,0.291,0.518,0.494,0.561,0.9,1.03,1.121,1.296,1.415,1.848
Республика Северная Осетия - Алания,-1.32,-1.251,-1.197,-1.149,-1.063,-0.951,-0.753,-0.6,-0.521,-0.417,-0.235,-0.064,0.123,0.467,0.586,0.587,0.956,1.016,1.155,1.355,1.448,1.828
Ставропольский край,-1.229,-1.182,-1.139,-1.07,-1,-0.918,-0.801,-0.665,-0.489,-0.481,-0.302,-0.081,0.036,0.2,0.401,0.67,0.975,1.052,1.214,1.366,1.425,2.019
Приволжский федеральный округ,-1.283,-1.229,-1.189,-1.122,-1.022,-0.915,-0.766,-0.595,-0.388,-0.472,-0.307,-0.028,0.142,0.27,0.418,0.602,0.813,0.968,1.283,1.444,1.351,2.023
Республика Башкортостан,-1.337,-1.3,-1.265,-1.172,-1.058,-0.939,-0.731,-0.588,-0.33,-0.49,-0.303,0.003,0.354,0.378,0.541,0.636,0.813,0.924,1.348,1.456,1.272,1.787
Республика Марий Эл,-1.284,-1.23,-1.192,-1.12,-1.02,-0.975,-0.831,-0.671,-0.521,-0.472,-0.289,-0.08,0.198,0.32,0.564,0.96,0.949,1.051,1.253,1.402,1.327,1.663
Республика Мордовия,-1.254,-1.204,-1.145,-1.082,-1.026,-0.961,-0.81,-0.601,-0.414,-0.449,-0.29,-0.129,0.029,0.187,0.463,0.534,1.006,1.147,1.252,1.44,1.48,1.827
Республика Татарстан,-1.203,-1.174,-1.136,-1.08,-0.991,-0.896,-0.769,-0.612,-0.437,-0.48,-0.359,-0.044,0.091,0.21,0.324,0.537,0.734,0.948,1.319,1.511,1.327,2.179
Удмуртская Республика,-1.237,-1.187,-1.134,-1.09,-1.042,-0.882,-0.78,-0.613,-0.46,-0.51,-0.331,-0.08,0.071,0.203,0.389,0.665,0.879,0.968,1.328,1.504,1.346,1.991
Чувашская Республика,-1.39,-1.322,-1.267,-1.198,-1.072,-0.987,-0.781,-0.518,-0.244,-0.375,-0.221,0.049,0.301,0.347,0.471,0.592,0.881,0.984,1.158,1.357,1.414,1.821
Пермский край,-1.322,-1.235,-1.212,-1.148,-1.031,-0.907,-0.791,-0.599,-0.334,-0.472,-0.302,0.141,0.183,0.223,0.415,0.598,0.77,0.971,1.332,1.483,1.256,1.982
Кировская область,-1.265,-1.22,-1.157,-1.097,-0.998,-0.929,-0.797,-0.636,-0.384,-0.421,-0.222,-0.047,0.054,0.173,0.402,0.616,0.855,0.995,1.159,1.29,1.492,2.137
Нижегородская область,-1.275,-1.195,-1.156,-1.09,-1.028,-0.921,-0.782,-0.606,-0.396,-0.471,-0.279,-0.065,0.065,0.216,0.369,0.542,0.866,1.057,1.265,1.474,1.444,1.967
Оренбургская область,-1.283,-1.26,-1.236,-1.18,-1.038,-0.924,-0.688,-0.51,-0.354,-0.398,-0.28,-0.03,0.167,0.399,0.437,0.552,0.656,0.809,1.296,1.422,1.265,2.178
Пензенская область,-1.233,-1.183,-1.131,-1.091,-1.019,-0.929,-0.839,-0.652,-0.474,-0.478,-0.323,-0.068,0.097,0.285,0.439,0.737,0.829,0.94,1.156,1.388,1.613,1.938
Самарская область,-1.313,-1.244,-1.198,-1.11,-0.987,-0.857,-0.708,-0.539,-0.34,-0.54,-0.346,-0.105,0.075,0.269,0.444,0.645,0.819,0.966,1.273,1.385,1.273,2.138
Саратовская область,-1.316,-1.244,-1.196,-1.117,-1.007,-0.939,-0.823,-0.653,-0.412,-0.396,-0.222,-0.03,0.135,0.303,0.444,0.649,0.913,1.011,1.168,1.294,1.457,1.979
Ульяновская область,-1.282,-1.227,-1.179,-1.115,-1.031,-0.942,-0.798,-0.644,-0.467,-0.443,-0.281,0.027,0.142,0.309,0.401,0.575,0.999,1.052,1.132,1.392,1.487,1.892
Уральский федеральный округ,-1.287,-1.23,-1.182,-1.11,-0.982,-0.791,-0.651,-0.536,-0.407,-0.508,-0.339,-0.073,0.102,0.206,0.329,0.54,0.697,0.968,1.425,1.478,1.113,2.241
Курганская область,-1.409,-1.324,-1.267,-1.177,-1.108,-1.009,-0.779,-0.619,-0.3,-0.279,-0.152,0.081,0.205,0.471,0.512,0.628,0.915,1.015,1.086,1.355,1.398,1.756
Свердловская область,-1.288,-1.239,-1.2,-1.144,-1.054,-0.93,-0.73,-0.542,-0.427,-0.537,-0.289,-0.015,0.203,0.297,0.399,0.582,0.904,1.072,1.256,1.381,1.356,1.946
Тюменская область,-1.277,-1.216,-1.167,-1.093,-0.953,-0.725,-0.612,-0.542,-0.42,-0.505,-0.36,-0.088,0.085,0.194,0.31,0.496,0.589,0.915,1.512,1.538,0.976,2.343
Ханты-Мансийский авт. округ - Югра,-1.388,-1.321,-1.283,-1.167,-0.998,-0.686,-0.548,-0.454,-0.306,-0.418,-0.282,0.049,0.234,0.252,0.345,0.552,0.535,0.836,1.506,1.543,0.684,2.314
Ямало-Ненецкий авт. округ,-1.067,-1.009,-0.941,-0.923,-0.859,-0.784,-0.693,-0.651,-0.542,-0.603,-0.488,-0.327,-0.131,0.03,0.254,0.392,0.598,0.971,1.49,1.583,1.243,2.457
Челябинская область,-1.285,-1.246,-1.192,-1.106,-0.978,-0.872,-0.698,-0.466,-0.306,-0.5,-0.327,-0.108,0.013,0.086,0.287,0.675,0.897,1.048,1.236,1.284,1.383,2.175
Сибирский федеральный округ,-1.258,-1.212,-1.171,-1.109,-0.981,-0.886,-0.742,-0.579,-0.45,-0.468,-0.243,-0.048,0.064,0.171,0.355,0.564,0.756,0.972,1.304,1.428,1.406,2.126
Республика Алтай,-1.248,-1.164,-1.126,-1.05,-0.973,-0.959,-0.826,-0.659,-0.488,-0.431,-0.313,-0.123,0.071,0.207,0.487,0.628,0.879,0.926,1.195,1.338,1.613,2.017
Республика Тыва,-1.223,-1.164,-1.104,-1.057,-0.994,-0.927,-0.8,-0.645,-0.48,-0.369,-0.228,-0.131,0.014,0.158,0.328,0.377,0.77,1.027,1.344,1.55,1.657,1.896
Республика Хакасия,-1.177,-1.148,-1.089,-1.05,-1.005,-0.91,-0.779,-0.669,-0.575,-0.48,-0.315,-0.129,0.064,0.187,0.368,0.5,0.909,1.023,1.288,1.441,1.549,2.002
Алтайский край,-1.325,-1.258,-1.208,-1.139,-1.023,-0.93,-0.761,-0.54,-0.381,-0.353,-0.188,-0.058,0.106,0.315,0.448,0.634,0.832,0.889,1.042,1.257,1.417,2.223
Красноярский край,-1.135,-1.108,-1.117,-1.07,-0.966,-0.883,-0.719,-0.552,-0.548,-0.535,-0.191,-0.062,-0.048,0.035,0.207,0.495,0.669,0.843,1.289,1.65,1.683,2.064
Иркутская область,-1.161,-1.13,-1.093,-1.042,-0.958,-0.875,-0.741,-0.608,-0.541,-0.504,-0.343,-0.18,0.011,0.135,0.34,0.498,0.752,0.99,1.345,1.493,1.408,2.202
Кемеровская область,-1.312,-1.254,-1.203,-1.137,-0.954,-0.837,-0.729,-0.509,-0.191,-0.337,-0.076,0.212,0.136,0.02,0.214,0.424,0.562,1.009,1.397,1.037,0.888,2.641
Новосибирская область,-1.249,-1.2,-1.143,-1.079,-1,-0.91,-0.784,-0.64,-0.458,-0.516,-0.394,-0.157,0.111,0.297,0.491,0.72,0.83,1.047,1.3,1.365,1.417,1.954
Омская область,-1.517,-1.457,-1.336,-1.248,-0.945,-0.836,-0.673,-0.542,-0.34,-0.385,-0.205,0.064,0.22,0.455,0.654,0.714,0.914,1.032,1.174,1.315,1.308,1.635
Томская область,-1.434,-1.353,-1.262,-1.156,-0.983,-0.85,-0.706,-0.58,-0.411,-0.426,-0.236,0.006,0.19,0.343,0.479,0.681,0.924,1.088,1.372,1.399,1.082,1.833
Дальневосточный федеральный округ,-1.209,-1.163,-1.117,-1.063,-0.998,-0.918,-0.818,-0.668,-0.523,-0.427,-0.232,-0.003,0.093,0.163,0.352,0.542,0.755,0.85,1.287,1.465,1.497,2.134
Республика Бурятия,-1.43,-1.338,-1.254,-1.098,-0.971,-0.852,-0.67,-0.5,-0.312,-0.351,-0.217,0.001,0.121,0.253,0.357,0.534,0.728,0.77,1.138,1.43,1.617,2.044
Республика Саха (Якутия),-1.079,-1.036,-1.003,-0.962,-0.915,-0.848,-0.793,-0.711,-0.559,-0.516,-0.382,-0.153,-0.028,0.038,0.239,0.444,0.768,0.888,1.311,1.542,1.327,2.429
Забайкальский край,-1.249,-1.21,-1.139,-1.074,-1.013,-0.949,-0.79,-0.638,-0.415,-0.353,-0.215,0.065,0.217,0.257,0.299,0.396,0.634,0.841,1.092,1.316,1.719,2.208
Камчатский край,-1.144,-1.094,-1.066,-1.027,-0.973,-0.884,-0.761,-0.661,-0.543,-0.374,-0.288,-0.175,-0.044,0.016,0.141,0.439,0.929,0.97,1.323,1.485,1.658,2.071
Приморский край,-1.226,-1.198,-1.134,-1.075,-0.988,-0.897,-0.82,-0.706,-0.554,-0.416,-0.147,0.061,0.082,0.135,0.306,0.505,0.883,1.003,1.159,1.433,1.529,2.066
Хабаровский край,-1.251,-1.198,-1.123,-1.07,-1.01,-0.911,-0.795,-0.664,-0.531,-0.504,-0.233,-0.071,0.064,0.276,0.422,0.621,0.892,0.981,1.205,1.359,1.541,2
Амурская область,-1.25,-1.16,-1.113,-1.059,-0.981,-0.892,-0.762,-0.644,-0.503,-0.365,-0.169,0.162,0.191,0.058,0.21,0.531,0.674,0.686,0.934,1.37,1.751,2.33
Магаданская область,-0.947,-0.9,-0.84,-0.818,-0.815,-0.786,-0.74,-0.693,-0.616,-0.549,-0.416,-0.272,-0.201,-0.082,0.01,0.339,0.659,0.75,0.916,1.35,2.156,2.493
Сахалинская область,-1.232,-1.202,-1.202,-1.162,-1.092,-1.02,-0.91,-0.615,-0.499,-0.354,-0.121,0.156,0.258,0.331,0.644,0.738,0.554,0.608,1.709,1.559,1.141,1.712
Еврейская авт. область,-1.406,-1.358,-1.261,-1.18,-1.053,-0.912,-0.734,-0.461,-0.449,-0.386,-0.09,0.284,0.439,0.235,0.402,0.525,0.715,1.033,1,1.108,1.407,2.143
Чукотский авт. округ,-1.174,-1.093,-1.006,-0.916,-0.947,-0.947,-0.861,-0.714,-0.456,-0.065,-0.229,-0.073,-0.049,-0.081,0.277,0.385,0.666,0.685,0.969,1.281,1.954,2.391
