"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Псковская область","103.5","108.7","117.5","138.2","262.5","388.5","438.1","231.5","188.1","37.5","41.4","39","33.6","31.8","45.9","49.2","53.1","56.934","79.4","95.9","99.7","139.1"
"г. Санкт-Петербург","2404","1789.1","1541.7","2573.3","3736.3","4325.4","11505.9","15569.9","20716.699","11483.6","10709.8","19461.4","19330.301","17828.1","19591.699","13521.3","13674.6","19053.754","23415.199","24306.1","18163.9","26208.4"
"Южный федеральный округ","2587","474.3","3119.8","4101.4","3249","4481.3","5587.8","8082","10551.5","6668.2","9038","17074.801","17158.9","15141","17177.4","11247.1","10712","13571.993","17314.801","14896.2","13651.6","19440"
"Республика Адыгея","2.1","0.9","2.3","60.7","4.2","0.7","3.2","3.2","6.8","4.2","4","5","3.8","3.1","6.8","15.7","15.3","28.546","25.4","17","15.3","24.7"
"Республика Калмыкия","179.4","22.1","22.4","44.4","61.2","145.5","110.4","62.5","68.4","1.5","31","5.3","0","0.1","1.3","0.1","0.4","0.307","0","0.1","0.5","0.5"
"Республика Крым","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.5","46","26.5","13.751","10","1.4","7.5","5.9"
"Краснодарский край","944.9","70.3","986.9","1379.8","756.5","1232.1","1809.9","2828.8","3601.8","2778.3","3950.7","9349.6","8740.7","7126.6","9641","5852.6","5181.1","6499.105","7855.9","6778.8","5062.3","6954.6"
"Астраханская область","182.4","16.4","213.5","207","142","163.1","190","675","1004.7","325.6","189.3","556.3","485.5","473.1","742.7","352.2","280.9","646.009","833.1","431.4","615.9","792.9"
"Волгоградская область","774.8","84.1","1085.5","1372","1054.4","1567.8","1971.8","2306.7","3122.7","1576.9","2106.3","2819.5","3204.8","2898.5","2858.2","1158.3","761.9","903.504","1167.2","992.6","931.4","2315.2"
"Ростовская область","503.4","280.5","809.2","1037.5","1230.7","1372.1","1502.5","2205.8","2747.1","1981.7","2756.7","4339.2","4724.2","4639.5","3927.5","3868.2","4443.9","5478.306","7421.2","6671.7","7017.4","9345"
"г. Севастополь","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.3","13","1.9","2.464","1.9","3.3","1.1","1.2"
"Северо-Кавказский федеральный округ","500.7","576.4","390.4","371.7","944","1112.6","830.8","834.6","1169.3","811.9","762.8","946.1","937.3","810.3","797.1","692.6","633","716.387","843.4","873.4","797.9","1194.9"
"Республика Дагестан","111.1","74.4","61.5","52","15.2","86.9","26.8","53.9","222","33.4","61.5","51","36.6","9.8","21.9","27.3","16.3","15.606","24.6","15.6","15.4","30"
"Республика Ингушетия","70","82.9","18.7","0","597.7","495.6","236.4","41","32.1","5.3","0","0","0.4","1.3","0","0.2","0.6","3.111","0.2","3.1","3","4.7"
"Кабардино-Балкарская Республика","6.6","3.2","4.5","10.2","12.9","44.4","17.4","13.1","9.8","2.8","10.9","14.6","16.7","10.4","6.5","5.7","16.4","8.96","17.8","3.9","14.6","3.7"
"Карачаево-Черкесская Республика","1.9","0.6","0.8","0.5","0.9","1.3","3.2","14.8","7.8","2.9","4","6.4","8.9","11.8","10.1","7.1","8.4","8.076","15.5","8.8","5.4","4.3"
"Республика Северная Осетия - Алания","64.8","63.5","78.7","26.4","22.8","29","75.9","94.8","68.7","80.7","52.1","42.3","36.1","38.8","40.4","40.5","45","42.151","46.4","39.4","44.9","47.5"
"Чеченская Республика","0","81.7","11.9","0","0","0","0","0","0.2","0.1","0.1","0.8","0","0.1","0.1","0.1","0.3","1.379","3.6","4.2","11.2","21.6"
"Ставропольский край","246.3","270.1","214.3","282.6","294.5","455.4","471.1","617","828.7","686.7","634.2","831","838.6","738.1","718.1","611.7","546","637.103","735","798.3","703.3","1083.3"
"Приволжский федеральный округ","14646.2","13091.1","14494.5","17645.699","19383.199","26036.699","29434.6","30452.9","44971.5","26528.9","41550.398","52709.301","53704.699","56341.199","52847.801","33262.602","24543.1","28303.955","33598.301","30872.2","22868.8","34399"
"Республика Башкортостан","2366.7","1891.3","2202.7","2330.5","3106.2","5781","6677.3","5720.1","6780.1","3968.3","8502","9858.3","10344.5","12564.3","12438.5","6269.2","4858.3","3295.824","3236.2","3341.1","2436.8","2898.4"
"Республика Марий Эл","29.8","28.1","29.5","74","53.6","38.8","50.4","231.3","288.3","223.2","380.3","322.9","595","400.8","176.5","305.5","155.3","276.353","358.9","280.7","96","235.4"
"Республика Мордовия","9.2","19.2","10.3","11.4","17","17.4","17.7","16.8","58","62.3","106.3","111.3","52.4","55.3","73.4","64.2","95.1","131.687","159.4","122.9","129","181"
"Республика Татарстан","2807.4","2476.2","2595.6","3024.4","4231.5","7015.7","7885.1","9837","16185.4","10007.2","14594.8","19196","18895.6","20183.801","16594.9","9839.9","8087","11275.892","13452.2","10996","7072.3","10302.8"
"Удмуртская Республика","945.6","627.2","640.8","566","181","309.9","660.8","238.1","254.7","128.5","184.1","1067.2","827.9","1116.6","1180.2","603","444.3","243.854","280.7","470.9","316.9","362.3"
"Чувашская Республика","52","59.1","63.1","77.9","90.9","121.7","178.9","131.7","190.9","130.3","119.6","72.3","61.5","46.5","38.3","37.9","46.7","54.326","75","69.1","86.7","94.5"
"Пермский край","370.7","1894.5","1932","2123.1","2430.7","2565.7","2597.8","3003","6032.6","2575.5","3913.1","6643.3","7517.2","6610.1","7292.2","5829.2","3776","4454.526","4828.9","5196.8","3878.4","7133.1"
"Кировская область","660.6","222","204.7","265","299.5","329.1","536.2","621.2","785","578.3","571.8","927.7","900.4","829.8","851.7","753.4","597.1","698.207","763","649.9","698.5","1115"
"Нижегородская область","1231.9","802.7","1168.9","1243.8","846.6","1027.8","1073.7","1605.7","1504.1","1433.5","1984.8","5315.9","4653.4","4341","4355.8","2267.8","1653.6","2182.85","3441.5","3062","3329.1","4934"
"Оренбургская область","40.4","1270.7","1624.1","2046.1","1570.9","1885.6","1694.9","2677.7","3519.5","1891.7","2343.3","1965.4","2130.6","1695.9","1494.1","1191.8","1204","1301.688","1433.4","1285.8","862.3","1231.6"
"Пензенская область","2271.9","34.3","35.7","46.5","71.4","25.9","48.7","59.2","49.7","46.5","54.9","83.8","111.7","71","72.7","186.1","84","114.837","151.3","146.8","236.9","172.3"
"Самарская область","3236.9","3331.8","3166.3","4661.2","5133.4","5334.8","6537.6","5232.4","7550.6","4344.7","6944.9","5158.5","4382.8","6253.3","7033.8","4607.2","2431.6","2803.905","3518.7","3334.6","2512.6","3597.3"
"Саратовская область","472.2","357.2","698.2","1056.3","1283.8","1501.6","1337.4","859.8","1550.7","1001.8","1572.1","1597.4","2907.2","1929","807","919.7","770","902.055","1251.8","933.7","843.1","1709.6"
"Ульяновская область","150.9","76.8","122.6","119.5","66.7","81.7","138.1","218.9","221.9","137.1","278.4","389.3","324.5","243.8","438.7","387.7","340.1","567.951","647.1","981.8","370.4","431.8"
"Уральский федеральный округ","18837.801","18025.801","22107.5","26046.199","29729.801","37772.602","48242.398","52890.398","69379","41832.301","54613.898","69389.898","69845.797","56422.801","31942.9","23081.199","23600.199","27652.543","35987.301","33067.6","23593","36548.8"
"Курганская область","70.7","38.2","31.9","21","98.3","69.1","20.3","30.4","22.9","38.6","129.4","268.3","264.8","325.9","38.6","156.6","26.5","35.813","141.7","165.3","47.5","61.2"
"Свердловская область","2495.6","2611.9","2763","2899.9","4329.8","5210.7","6637","7962.6","8836.3","6432.2","7882.9","8060","9003.7","6882.6","6478","5977.8","6201.6","5793.432","7164.2","5962.4","6367.3","7627.6"
"Тюменская область","14623.5","13926.2","17461.4","20976.801","21685.699","28528","37377.898","39748.602","54769.398","31527.6","42490.898","56407.102","56893.898","46424.398","22281.4","14253.9","14809","18643.42","25551.4","25011","14962.6","24310.9"
"Ямало-Ненецкий авт. округ","0","0","0","2610.5","278","532","829.9","395","145.8","197.8","434.4","2757.7","3044.2","2295","507.3","659.3","1661.8","2375.681","2975.2","4946.5","3910.1","5722.8"
"Тюменская область без авт. округов","0","0","0","1221.3","7402.4","16500.301","20694.6","22137.199","31213.699","18975.9","26174.1","31776.5","31736","20822.801","2358.3","1895.3","1937.4","2670.418","3450.9","1709.7","396.9","1473.1"
"Челябинская область","1648","1449.5","1851.2","2148.5","3616","3964.8","4207.2","5148.8","5750.4","3833.9","4110.7","4654.5","3683.4","2789.9","3144.9","2692.9","2563.1","3179.878","3130","1928.8","2215.6","4549.1"
"Сибирский федеральный округ","10138.8","9100.5","9308.3","11165.9","17409.301","22545.801","24890.4","25141.9","25821","22198.5","33781.398","29529.199","30168.801","30174.9","28981.9","24408.801","21565","28403.43","33344.898","32458.7","26834.6","35182.4"
"Республика Алтай","40","28.1","23","17.6","40.1","22.9","19.7","19","26.8","24.5","44.1","22.6","39.1","20.4","21.3","38.3","25.9","20.499","19.1","31.5","30.6","23.6"
